approved	synonyms
MRT11	NA
MRT17	NA
MRT18	NA
MRT19	NA
MRT20	NA
MRT22	NA
MRT23	NA
MRT24	NA
MRT25	NA
MRT26	NA
MRT27	NA
MRT28	NA
MRX4	NA
MRX5	NA
MRX6	NA
MRX7	NA
MRX8	NA
MRX11	NA
MRX12	NA
MRX14	NA
MRX15	NA
MRX17	NA
MRX18	NA
MRX20	NA
MRX23	NA
MRX24	NA
MRX25	NA
MRX26	NA
MRX27	NA
MRX28	NA
MRX31	NA
MRX35	NA
MRX37	NA
MRX39	NA
MRX40	NA
MRX42	NA
MRX49	NA
MRX50	NA
MRX51	NA
MRX52	NA
MRX53	NA
MRX56	NA
MRX57	NA
MRX61	NA
MRX64	NA
MRX65	NA
MRX66	NA
MRX67	NA
MRX69	NA
MRX70	NA
MRX71	NA
MRX73	NA
MRX75	NA
MRX77	NA
MRX78	NA
MRX80	NA
MRX81	NA
MRX82	NA
MRX84	NA
MRX86	NA
MRXS7	NA
MRXS11	SMRXS
MS	MS1
MSD	NA
MYMY1	MYMY
MYMY3	NA
MYP1	NA
MYP2	NA
MYP3	NA
MYP4	NA
MYP5	NA
MYP7	NA
MYP8	NA
MYP9	NA
MYP10	NA
MYP11	NA
MYP12	NA
MYP13	NA
MYP14	NA
MYP15	NA
MYP16	NA
MYP17	NA
MYP18	NA
NIDDM1	NA
NIDDM2	NA
NKS1	EC-1
NM	NA
NNO1	NA
NYS2	NYSA
NYS3	CN
NYS4	NA
OA3	NA
OAP	NA
OASD	NA
OCA5	NA
OED	NA
OFC1	OFC
OFC2	NA
OFC3	NA
OPA2	NA
OPA4	NA
OPA5	NA
OPA6	ROA1
OPA8	NA
OPEM	NA
OTSC1	OTS
OTSC2	NA
OTSC3	NA
OTSC4	NA
OTSC5	NA
OTSC6	NA
OTSC7	NA
OTSC8	NA
OTSC9	NA
OTSC10	NA
P1	NA
PARK3	NA
PARK10	AAOPD
PARK11	NA
PARK12	NA
PARK16	NA
PBCRA1	CRAPB,PBCRA
PCAP	HPC2,HPC8
PCOS1	NA
PDB1	PDB
PDB4	NA
PDB5	NA
PDB6	NA
PDR	NA
PEE1	PIH
PFM3	NA
PKD3	NA
PPH2	NA
PRD	NA
PRS	MRXS2
PSORS3	NA
PSORS4	NA
PSORS5	NA
PSORS6	NA
PSORS7	NA
PSORS8	NA
PSORS9	NA
PSORS10	NA
PTLAH	FPAH
PTOS1	NA
RCA1	HRCA1
RCD1	NA
RENS2	MRXS9
RIEG2	ARS
RMD1	NA
RP6	NA
RP22	NA
RP24	NA
RP29	NA
RP32	NA
RP34	NA
RP35	NA
RP52	NA
RP63	NA
RSS	SRS
SAI1	NA
SAX1	SPAX1
SCA9	NA
SCA18	SMNA
SCA20	NA
SCA25	NA
SCA26	NA
SCA30	NA
SCA32	NA
SCA37	NA
SCAR2	CLA1
SCAR3	NA
SCAR6	CLA4,CLA3
SCASI	SCAR4,SCA24
SCAX2	NA
SCAX3	NA
SCAX4	NA
SCKL3	NA
SCZD1	NA
SCZD2	NA
SCZD3	NA
SCZD4	NA
SCZD5	NA
SCZD6	NA
SCZD7	NA
SCZD8	NA
SCZD10	NA
SEN2	NA
SEN3	NA
SEN6	NA
SEN6A	NA
SEN6B	NA
SHFM2	SHSF2,SHFD2
SHFM5	NA
SLEB3	NA
SLEH1	NA
SLEN1	NA
SLEN2	NA
SLEN3	NA
SMAN1	NA
SPG3B	NA
SPG5B	NA
SPG9	NA
SPG14	NA
SPG16	NA
SPG18	NA
SPG19	NA
SPG23	NA
SPG24	NA
SPG25	NA
SPG27	NA
SPG29	NA
SPG32	SPG29
SPG34	NA
SPG36	NA
SPG37	NA
SPG38	NA
SPG41	NA
SPG45	NA
SPG56	NA
ST2	NA
ST3	NA
ST8	OVCS
ST11	PETS1
SYM2	NA
TAPVR1	NA
TELAB1	NA
TGCT1	NA
THAS	NA
THM	NA
TKCR	TKC
TRICY1	NA
TYS	NA
USH1E	NA
USH1H	NA
USH1K	NA
USH3B	NA
VDI	NA
VMD1	NA
WBS2	WS,WBS
WS2B	NA
WSN	NA
WT2	MTACR1,ADCR
XGR	YG
XM	NA
XRCC8	NA
XS	NA
A1BG	NA
A1CF	ACF,ASP,ACF64,ACF65,APOBEC1CF
A2M	FWP007,S863-7,CPAMD5
A2ML1	CPAMD9,FLJ25179
A3GALT2	A3GALT2P,IGBS3S
A4GALT	A14GALT,Gb3S,P(k)
A4GNT	alpha4GnT
AAAS	NA
AACS	FLJ12389,SUR-5,ACSF1
AADAC	DAC,CES5A1
AADACL2	MGC72001
AADACL3	OTTHUMG00000001887
AADACL4	OTTHUMG00000001889
AADAT	KATII,KAT2
AAED1	C9orf21
AAGAB	FLJ11506,p34
AAK1	KIAA1048,DKFZp686K16132
AAMDC	C11orf67,PTD015,FLJ21035,CK067
AAMP	NA
AANAT	SNAT
AAR2	C20orf4,bA234K24.2
AARD	C8orf85,LOC441376
AARS	NA
AARS2	AARSL,KIAA1270,bA444E17.1
AARSD1	MGC2744
AASDH	NRPS998,LYS2,ACSF4
AASDHPPT	LYS5,CGI-80,AASD-PPT
AASS	LORSDH,LKRSDH
AATF	DED,CHE-1,CHE1,BFR2
AATK	AATYK,KIAA0641,LMTK1,LMR1,AATYK1,PPP1R77
ABAT	GABAT
ABCA1	ABC1,HDLDT1,TGD
ABCA2	ABC2
ABCA3	ABC3,ABC-C,EST111653,LBM180
ABCA4	STGD1,ABCR,RP19,STGD,FFM,ARMD2,CORD3
ABCA5	EST90625
ABCA6	EST155051
ABCA7	ABCX
ABCA8	KIAA0822
ABCA9	EST640918
ABCA10	EST698739
ABCA12	ICR2B,DKFZP434G232,LI2
ABCA13	FLJ33876,FLJ33951
ABCB1	PGY1,MDR1,CLCS,P-gp,CD243,GP170,ABC20
ABCB4	PGY3,MDR3,MDR2,PFIC-3,GBD1
ABCB5	EST422562,ABCB5beta,ABCB5alpha
ABCB6	EST45597,umat,MTABC3
ABCB7	ABC7,EST140535,Atm1p,ASAT
ABCB8	EST328128,M-ABC1,MABC1
ABCB9	EST122234
ABCB10	EST20237,M-ABC2,MTABC2
ABCB11	BSEP,PFIC2,ABC16,SPGP,PFIC-2,PGY4
ABCC1	MRP,MRP1,GS-X
ABCC2	CMOAT,DJS,MRP2,cMRP
ABCC3	MRP3,cMOAT2,EST90757,MLP2,MOAT-D
ABCC4	MRP4,EST170205,MOAT-B,MOATB
ABCC5	MRP5,SMRP,EST277145,MOAT-C
ABCC6	ARA,PXE,MRP6,EST349056,MLP1,URG7
ABCC8	SUR,HRINS,HI,PHHI,SUR1,MRP8,ABC36,HHF1,TNDM2
ABCC9	SUR2,CMD1O
ABCC10	EST182763,MRP7,SIMRP7
ABCC11	MRP8
ABCC12	MRP9
ABCD1	ALD,AMN,ALDP,adrenoleukodystrophy
ABCD2	ALDL1,ALDR,ALDRP
ABCD3	PXMP1,PMP70,ZWS2
ABCD4	PXMP1L,PMP69,P70R,EST352188
ABCE1	RNASEL1,RNASELI,RNS4I,RLI,OABP
ABCF1	ABC50,EST123147
ABCF2	EST133090,ABC28,M-ABC1,HUSSY-18
ABCF3	EST201864
ABCG1	ABC8
ABCG2	EST157481,MXR,BCRP,ABCP,CD338
ABCG4	WHITE2
ABCG5	STSL
ABCG8	GBD4
ABHD1	LABH1,FLJ36128
ABHD2	LABH2
ABHD3	LABH3
ABHD4	FLJ12816
ABHD5	CGI-58,NCIE2
ABHD6	NA
ABHD8	FLJ11743,MGC14280,MGC2512
ABHD10	FLJ11342
ABHD11	WBSCR21,PP1226
ABHD12	C20orf22,DKFZP434P106,dJ965G21.2,BEM46L2,ABHD12A
ABHD12B	C14orf29,BEM46L3
ABHD13	C13orf6,bA153I24.2,FLJ14906,BEM46L1
ABHD14A	DKFZP564O243,DORZ1
ABHD14B	MGC15429,CIB
ABHD15	NA
ABHD16A	BAT5,NG26,D6S82E
ABHD16B	C20orf135,dJ591C20.1
ABHD17A	C19orf27,FAM108A1,MGC5244
ABHD17B	C9orf77,FAM108B1,CGI-67
ABHD17C	FAM108C1
ABI1	SSH3BP1,E3B1,ABI-1
ABI2	ABI-2,AIP-1,ABI2B,AblBP3,argBPIA,SSH3BP2
ABI3	NESH,SSH3BP3
ABI3BP	NESHBP,DKFZP586L2024,TARSH
ABL1	ABL,JTK7,c-ABL,p150
ABL2	ABLL,ARG
ABLIM1	LIMAB1,ABLIM,abLIM,limatin
ABLIM2	KIAA1808
ABLIM3	KIAA0843
ABO	A3GALNT,A3GALT1
ABR	MDB
ABRA	STARS
ABRACL	C6orf115,PRO2013,HSPC280,Costars
ABT1	NA
ABTB1	BPOZ,EF1ABP,Btb3,BTBD21
ABTB2	DKFZP586C1619,BTBD22,ABTB2A
ACAA1	NA
ACAA2	DSAEC
ACACA	ACAC,ACC,ACC1
ACACB	HACC275,ACC2,ACCB
ACAD8	NA
ACAD9	NPD002,MGC14452
ACAD10	MGC5601
ACAD11	FLJ12592
ACADL	LCAD,ACAD4
ACADM	MCAD,MCADH,ACAD1
ACADS	SCAD,ACAD3
ACADSB	SBCAD,ACAD7
ACADVL	VLCAD,LCACD,ACAD6
ACAN	MSK16,CSPG1,AGC1,CSPGCP
ACAP1	CENTB1,KIAA0050
ACAP2	CENTB2,KIAA0041,CNT-B2
ACAP3	CENTB5,KIAA1716
ACAT1	ACAT,THIL
ACAT2	NA
ACBD3	GOLPH1,GOCAP1,GCP60,PAP7
ACBD4	FLJ13322
ACBD5	DKFZp434A2417,KIAA1996
ACBD6	MGC2404
ACBD7	FLJ38219,bA455B2.2
ACCS	PHACS,ACS
ACCSL	NA
ACD	Ptop,Pip1,Tpp1,Tint1
ACE	DCP1,ACE1,CD143
ACE2	NA
ACER1	ASAH3
ACER2	ASAH3L,FLJ41587
ACER3	PHCA,FLJ11238,APHC
ACHE	YT
ACIN1	ACINUS,KIAA0670,fSAP152
ACKR1	FY,DARC,CCBP1,GPD,Dfy,CD234
ACKR2	CMKBR9,CCBP2,CCR10,D6,CCR9
ACKR3	CMKOR1,CXCR7,RDC1,GPR159
ACKR4	CCRL1,CCR11,CCBP2,VSHK1,CCX-CKR,PPR1
ACLY	ATPCL,CLATP,ACL
ACMSD	NA
ACN9	DC11
ACO1	IREB1,IRP1,IREBP
ACO2	ACONM
ACOT1	ACH2,CTE-1,LACH2
ACOT2	Mte1,ZAP128
ACOT4	FLJ31235,PTE-Ib,PTE2B
ACOT6	C14orf42
ACOT7	BACH,ACH1,ACT,CTE-II,LACH1,MGC1126,hBACH
ACOT8	PTE1,hACTE-III,hTE,PTE-2
ACOT9	CGI-16,MT-ACT48,ACATE2
ACOT11	THEA,STARD14,BFIT,KIAA0707,BFIT1,THEM1
ACOT12	Cach,THEAL,STARD15
ACOT13	THEM2,HT012
ACOX1	PALMCOX
ACOX2	BRCACOX,BRCOX,THCCox
ACOX3	NA
ACOXL	FLJ11042
ACP1	NA
ACP2	NA
ACP5	TRAP
ACP6	LPAP,ACPL1
ACPP	ACP3,ACP-3
ACPT	NA
ACR	NA
ACRBP	SP32,OY-TES-1,CT23
ACRC	NA
ACRV1	SPACA2,SP-10,D11S4365
ACSBG1	BGM,FLJ30320,MGC14352,BG1,KIAA0631,hBG1,hsBG
ACSBG2	BGR,PRTD-NY3,DKFZp434K1635
ACSF2	FLJ20920,ACSMW
ACSF3	NA
