approved	synonyms
IL36G	IL1F9,IL-1H1,IL-1RP2,IL-1F9,IL1H1,IL1E
IL36RN	IL1F5,FIL1,FIL1(DELTA),FIL1D,IL1HY1,IL1RP3,IL1L1,IL-1F5,IL36RA,MGC29840
IL37	IL1F7,FIL1,FIL1Z,FIL1(ZETA),IL-1H4,IL-1RP1,IL-1F7
ILDR1	DFNB42,MGC50831
ILDR2	C1orf32
ILF2	NF45
ILF3	NF90,MPHOSPH4,MPP4,DRBP76,NFAR-1
ILK	NA
ILKAP	DKFZP434J2031,FLJ10181
ILVBL	209L8,AHAS,ILV2H,MGC1269,FLJ39061,MGC19535
IMMP1L	FLJ25059
IMMP2L	IMMP2L-IT1,IMP2
IMMT	P87,P89,HMP,MINOS2
IMP3	MRPS4,C15orf12,FLJ10968,BRMS2
IMP4	MGC19606,BXDC4
IMPA1	IMPA
IMPA2	NA
IMPACT	RWDD5
IMPAD1	FLJ20421,IMPA3,gPAPP
IMPDH1	RP10,sWSS2608,LCA11
IMPDH2	NA
IMPG1	SPACR,IPM150,GP147
IMPG2	IPM200,RP56
INA	NEF5,NF-66
INADL	Cipp,PATJ
INAFM1	PRR24
INAFM2	LINC00984,OGU1
INCA1	NA
INCENP	FLJ31633
INF2	C14orf151,C14orf173,MGC13251
ING1	p33ING1,p33ING1b,p24ING1c,p33,p47,p47ING1a
ING2	ING1L,p33ING2
ING3	p47ING3,FLJ20089,Eaf4,MEAF4
ING4	p29ING4,my036
ING5	FLJ23842,p28ING5
INHA	NA
INHBA	NA
INHBB	NA
INHBC	NA
INHBE	activin,MGC4638
INIP	C9orf80,HSPC043,hSSBIP1,SOSS-C,MISE
INMT	NA
INO80	INOC1,KIAA1259,Ino80,hINO80,INO80A
INO80B	HMGA1L4,ZNHIT4,HMGIYL4,PAPA-1,hIes2,PAP-1BP,IES2
INO80C	C18orf37,FLJ38183,hIes6,IES6
INO80D	FLJ20309
INO80E	CCDC95,FLJ90652
INPP1	NA
INPP4A	INPP4
INPP4B	NA
INPP5A	5PTASE
INPP5B	NA
INPP5D	SHIP,hp51CN
INPP5E	JBTS1,PPI5PIV,CORS1
INPP5F	SAC2,KIAA0966,hSac2
INPP5J	PIB5PA,INPP5
INPP5K	SKIP
INPPL1	SHIP2
INS	IDDM2,IDDM1
INSC	NA
INSIG1	CL-6,MGC1405
INSIG2	NA
INSL3	RLNL,RLF,MGC119818,MGC119819
INSL4	EPIL
INSL5	NA
INSL6	RIF1
INSM1	IA-1,IA1
INSM2	IA-6
INSR	CD220
INSRR	IRR
INTS1	DKFZp586J0619,KIAA1440,INT1,NET28
INTS2	KIAA1287,INT2
INTS3	C1orf60,FLJ21919,INT3,SOSS-A
INTS4	INT4,MGC16733,MST093
INTS5	KIAA1698,INT5
INTS6	DDX26,DICE1,HDB,Notchl2,DBI-1,DDX26A,INT6
INTS7	C1orf73,DKFZP434B168,INT7
INTS8	C8orf52,FLJ20530,INT8,MGC131633
INTS9	FLJ10871,CPSF2L,RC-74
INTS10	C8orf35,FLJ10569,INT10
INTS12	PHF22,SBBI22,INT12
INTU	PDZK6,PDZD6,KIAA1284
INVS	NPHP2
IP6K1	IHPK1,KIAA0263
IP6K2	IHPK2
IP6K3	IHPK3,INSP6K3
IPCEF1	PIP3-E,KIAA0403
IPMK	NA
IPO4	Imp4,FLJ23338
IPO5	KPNB3,RANBP5,IMB3,MGC2068,Pse1
IPO7	RANBP7,Imp7
IPO8	RANBP8,IMP8
IPO9	Imp9,FLJ10402
IPO11	RanBP11
IPO13	IMP13,KIAA0724,RANBP13
IPP	KLHL27
IPPK	C9orf12,INSP5K2,FLJ13163,IP5K,IPK1
IQCA1	IQCA,FLJ22527,DRC11
IQCA1L	IQCA1P1,TCAG_9762
IQCB1	KIAA0036,NPHP5,SLSN5
IQCC	FLJ10547
IQCD	DRC10,CFAP84
IQCE	KIAA1023
IQCF1	MGC39725
IQCF2	NA
IQCF3	NA
IQCF5	NA
IQCF6	NA
IQCG	DKFZp434B227,DRC9,CFAP122
IQCH	FLJ12476
IQCJ	NA
IQCK	MGC35048,FLJ36575
IQGAP1	p195,KIAA0051,SAR1,HUMORFA01
IQGAP2	NA
IQGAP3	NA
IQSEC1	KIAA0763,GEP100,BRAG2,ARF-GEP100
IQSEC2	MRX1,KIAA0522
IQSEC3	KIAA1110,MGC30156
IQUB	FLJ35834
IRAK1	IRAK,pelle
IRAK1BP1	AIP70,SIMPL
IRAK2	NA
IRAK3	IRAK-M
IRAK4	NY-REN-64
IREB2	IRP2
IRF1	MAR
IRF2	NA
IRF2BP1	DKFZP434M154,IRF-2BP1
IRF2BP2	IRF-2BP2
IRF2BPL	C14orf4,EAP1,KIAA1865
IRF3	NA
IRF4	MUM1,LSIRF
IRF5	NA
IRF6	VWS,LPS,OFC6,VWS1
IRF7	NA
IRF8	ICSBP1,IRF-8,ICSBP
IRF9	ISGF3G
IRG1	NA
IRGC	IRGC1,Iigp5,CINEMA
IRGM	IRGM1,LRG47,LRG-47,IFI1
IRGQ	IRGQ1,FKSG27
IRS1	HIRS-1
IRS2	NA
IRS4	PY160,IRS-4
IRX1	IRX-5
IRX2	NA
IRX3	IRX-1
IRX4	NA
IRX5	IRX-2a
IRX6	IRX7,IRX-3
ISCA1	HBLD2,MGC4276,ISA1,hIscA
ISCA2	HBLD1,ISA2
ISCU	NIFUN,ISU2,hnifU,IscU
ISG15	G1P2,IFI15,UCRP
ISG20	HEM45,CD25
ISG20L2	FLJ12671
ISL1	Isl-1,ISLET1
ISL2	FLJ10160
ISLR	HsT17563
ISLR2	KIAA1465
ISM1	C20orf82,bA149I18.1
ISM2	THSD3,FLJ32147,TAIL1
ISOC1	CGI-111
ISOC2	FLJ23469
ISPD	hCG_1745121,IspD,Nip
IST1	KIAA0174
ISX	RAXLX
ISY1	KIAA1160,fSAP33
ISYNA1	Ino1,INOS,IPS
ITCH	AIP4
ITFG1	CDA08,TIP
ITFG2	MDS028
ITFG3	C16orf9,DKFZP761D0211,FLJ32603
ITGA1	VLA1,CD49a
ITGA2	CD49B,CD49b
ITGA2B	GP2B,CD41B,CD41,PPP1R93
ITGA3	MSK18,CD49c,VLA3a,VCA-2,GAP-B3
ITGA4	CD49D,CD49d
ITGA5	FNRA,CD49e
ITGA6	CD49f
ITGA7	NA
ITGA8	NA
ITGA9	RLC,ITGA4L,ALPHA-RLC
ITGA10	NA
ITGA11	HsT18964
ITGAD	CD11d,ADB2
ITGAE	CD103,HUMINAE
ITGAL	CD11A,LFA-1
ITGAM	CR3A,CD11B,MAC-1,CD11b
ITGAV	VNRA,MSK8,VTNR,CD51
ITGAX	CD11C,CD11c
ITGB1	FNRB,MSK12,MDF2,CD29,GPIIA
ITGB1BP1	ICAP-1A,ICAP-1B,ICAP1,ICAP1A,ICAP1B,ICAP-1alpha
ITGB1BP2	CHORDC3
ITGB2	CD18,MFI7,LFA-1,MAC-1
ITGB3	GP3A,CD61,GPIIIa
ITGB3BP	NRIF3,HSU37139,TAP20,CENPR
ITGB4	CD104
ITGB5	NA
ITGB6	NA
ITGB7	NA
ITGB8	NA
ITGBL1	TIED,OSCP
ITIH1	H1P,IATIH,ITIH
ITIH2	H2P
ITIH3	H3P
ITIH4	ITIHL1,IHRP,H4P
ITIH5	MGC10848
ITIH6	ITIH5L,UNQ6369
ITK	EMT,PSCTK2,LYK
ITLN1	ITLN,FLJ20022,LFR,HL-1,hIntL
ITLN2	HL-2
ITM2A	BRICD2A,E25A
ITM2B	BRI,E25B,E3-16,BRICD2B
ITM2C	BRI3,E25,hRPC.1050_D_4,ITM3,BRICD2C
ITPA	C20orf37,HLC14-06-P,dJ794I6.3
ITPK1	NA
ITPKA	IP3KA,IP3-3KA
ITPKB	IP3KB,IP3-3KB
ITPKC	IP3KC,IP3-3KC
ITPR1	SCA15,SCA16,SCA29,Insp3r1,IP3R1,ACV,PPP1R94
ITPR2	IP3R2,CFAP48
ITPR3	IP3R3
ITPRIP	KIAA1754,bA127L20.2,DANGER
ITPRIPL1	KIAA1754L
ITPRIPL2	FLJ22994,MGC126798,MGC126800,LOC162073
ITSN1	SH3D1A,ITSN,SH3P17,MGC134948,MGC134949
ITSN2	SH3D1B,KIAA1256,SWAP,SH3P18,SWA,PRO2015
IVD	ACAD2
IVL	NA
IVNS1ABP	NS1-BP,HSPC068,NS-1,KIAA0850,ND1,KLHL39
IWS1	DKFZp761G0123,FLJ10006,FLJ14655,FLJ32319
IYD	C6orf71,dJ422F24.1,DEHAL1
IZUMO1	IZUMO,MGC34799,OBF
IZUMO1R	FOLR4,Folbp3,JUNO
IZUMO2	C19orf41,MGC33947,SCRL
IZUMO3	C9orf134,bA20A20.1
IZUMO4	C19orf36
JADE1	PHF17,JADE-1
JADE2	PHF15,KIAA0239,JADE-2
JADE3	PHF16,KIAA0215,JADE-3
JAG1	AGS,JAGL1,AHD,AWS,HJ1,CD339
JAG2	NA
JAGN1	GL009,FLJ14602
JAK1	JAK1B,JAK1A,JTK3
JAK2	JTK10
JAK3	L-JAK,JAKL,LJAK,JAK3_HUMAN,JAK-3
JAKMIP1	MARLIN1,JAMIP1,Gababrbp,FLJ31564
JAKMIP2	JAMIP2,KIAA0555
JAKMIP3	C10orf39,C10orf14,FLJ37857,NECC2,KIAA4091,bA140A10.5
JAM2	C21orf43,VE-JAM,JAM-B,JAMB,CD322
JAM3	JAM-C,JAMC
JARID2	JMJ
JAZF1	TIP27,DKFZp761K2222,ZNF802
JDP2	JUNDM2
JKAMP	C14orf100,HSPC213,JAMP,HSPC327,CDA06
JMJD1C	TRIP8,DKFZp761F0118,KIAA1380,FLJ14374
JMJD4	FLJ12517
JMJD6	PTDSR,PTDSR1,KIAA0585
JMJD7	NA
JMJD8	C16orf20
JMY	FLJ37870
JOSD1	KIAA0063
JOSD2	SBBI54
JPH1	JP-1
JPH2	JP-2
JPH3	TNRC22,JP-3,CAGL237,HDL2,JP3
JPH4	JPHL1,KIAA1831
JRK	JH8,jerky
JRKL	HHMJG
JSRP1	JP-45,FLJ32416
JTB	hJT
JUN	c-Jun,AP-1
JUNB	NA
JUND	AP-1
JUP	CTNNG,DP3,PDGB,PKGB,DPIII
KAAG1	RU2,RU2AS
KAL1	KAL,ADMLX,KALIG-1,WFDC19
KALRN	HAPIP,duo,Hs.8004,TRAD,DUET,Kalirin,ARHGEF24
KANK1	ANKRD15,KIAA0172,KANK
KANK2	MXRA3,ANKRD25,KIAA1518
KANK3	ANKRD47,FLJ46061
KANK4	ANKRD38,KIAA0172
KANSL1	KIAA1267,DKFZP727C091,MSL1v1,CENP-36,NSL1
KANSL1L	C2orf67,FLJ23861,FLJ32349,MSL1v2,KIAA1267L
KANSL2	C12orf41,FLJ20436,NSL2
KANSL3	KIAA1310,FLJ10081,Rcd1,NSL3
KARS	DFNB89,KARS2,KARS1
KAT2A	GCN5L2,GCN5,PCAF-b
KAT2B	PCAF,P/CAF,GCN5,GCN5L
KAT5	HTATIP,TIP60,PLIP,cPLA2,HTATIP1,ESA1,ZC2HC5
KAT6A	ZNF220,RUNXBP2,MYST3,MOZ,ZC2HC6A
KAT6B	MYST4,querkopf,qkf,Morf,MOZ2,ZC2HC6B
KAT7	MYST2,HBOA,HBO1,ZC2HC7
KAT8	MYST1,MOF,FLJ14040,hMOF,ZC2HC8
KATNA1	NA
KATNAL1	MGC2599
KATNAL2	MGC33211,DKFZP667C165
KATNB1	NA
KATNBL1	C15orf29,FLJ22557
KAZALD1	FKSG40,FKSG28
KAZN	KIAA1026,KAZRIN,FLJ43806
KBTBD2	BKLHD1,DKFZP566C134
KBTBD3	BKLHD3
KBTBD4	BKLHD4,FLJ10450,HSPC252
KBTBD6	DKFZp547E1912
KBTBD7	DKFZP434E2318
KBTBD8	TA-KRP,KIAA1842
KBTBD11	KIAA0711,KLHDC7C
KBTBD12	KLHDC6,FLJ46299
KBTBD13	hCG_1645727,NEM6
KCMF1	DEBT91,PCMF,DKFZP434L1021,ZZZ1
KCNA1	AEMK,Kv1.1,RBK1,HUK1,MBK1
KCNA2	Kv1.2,HK4
KCNA3	Kv1.3,MK3,HLK3,HPCN3
KCNA4	KCNA4L,Kv1.4,HK1,HPCN2
KCNA5	Kv1.5,HK2,HPCN1
KCNA6	Kv1.6,HBK2,PPP1R96
KCNA7	Kv1.7,HAK6
KCNA10	Kv1.8
KCNAB1	AKR6A3,KCNA1B,hKvBeta3,Kvb1.3,hKvb3
KCNAB2	AKR6A5,KCNA2B,HKvbeta2.1,HKvbeta2.2
KCNAB3	AKR6A9,KCNA3B
KCNB1	Kv2.1
KCNB2	Kv2.2
KCNC1	Kv3.1
KCNC2	Kv3.2
KCNC3	SCA13,Kv3.3
KCNC4	C1orf30,Kv3.4,HKSHIIIC
KCND1	Kv4.1
KCND2	Kv4.2,RK5,KIAA1044
KCND3	SCA22,SCA19,Kv4.3,KSHIVB
KCNE1	minK,ISK,JLNS2,LQT5
KCNE2	MiRP1,LQT6
KCNE3	MiRP2,HOKPP
KCNE4	MiRP3
KCNE5	KCNE1L
KCNF1	KCNF,Kv5.1,kH1,IK8
KCNG1	KCNG,Kv6.1,kH2,K13
KCNG2	Kv6.2,KCNF2
KCNG3	Kv6.3
KCNG4	Kv6.4
KCNH1	Kv10.1,eag,h-eag,eag1
KCNH2	LQT2,Kv11.1,HERG,erg1
KCNH3	Kv12.2,BEC1,elk2
KCNH4	Kv12.3,elk1
KCNH5	Kv10.2,H-EAG2,eag2
KCNH6	Kv11.2,erg2,HERG2
KCNH7	Kv11.3,HERG3,erg3
KCNH8	Kv12.1,elk3
KCNIP1	KCHIP1
KCNIP2	KCHIP2
KCNIP3	CSEN,DREAM,KCHIP3,calsenilin
KCNIP4	CALP,KCHIP4,MGC44947
KCNJ1	Kir1.1,ROMK1
KCNJ2	Kir2.1,IRK1,LQT7
KCNJ3	Kir3.1,GIRK1,KGA
KCNJ4	Kir2.3,HIR,HRK1,hIRK2,IRK3
KCNJ5	Kir3.4,CIR,KATP1,GIRK4,LQT13
KCNJ6	KCNJ7,Kir3.2,GIRK2,KATP2,BIR1,hiGIRK2
KCNJ8	Kir6.1
KCNJ9	Kir3.3,GIRK3
KCNJ10	Kir4.1,Kir1.2
KCNJ11	Kir6.2,BIR
KCNJ12	KCNJN1,Kir2.2,Kir2.2v,IRK2,hIRK1
KCNJ13	Kir7.1,Kir1.4,LCA16
KCNJ14	Kir2.4,IRK4
KCNJ15	Kir4.2,Kir1.3,IRKK
KCNJ16	Kir5.1,BIR9
KCNJ18	KIR2.6,TTPP2
KCNK1	K2p1.1,DPK,TWIK-1
KCNK2	K2p2.1,TREK-1
KCNK3	K2p3.1,TASK,TASK-1
KCNK4	K2p4.1,TRAAK
KCNK5	K2p5.1,TASK-2
KCNK6	K2p6.1,TWIK-2
KCNK7	K2p7.1
KCNK9	K2p9.1,TASK3,TASK-3
KCNK10	K2p10.1,TREK-2,TREK2,PPP1R97
KCNK12	THIK-2,THIK2,K2p12.1
KCNK13	K2p13.1,THIK-1,THIK1
KCNK15	KCNK11,KCNK14,K2p15.1,dJ781B1.1,KT3.3,KIAA0237,TASK5,TASK-5
KCNK16	K2p16.1,TALK-1,TALK1
KCNK17	K2p17.1,TALK-2,TALK2,TASK4,TASK-4
KCNK18	K2p18.1,TRESK-2,TRESK2,TRESK,TRIK
KCNMA1	SLO,KCa1.1,mSLO1
KCNMB1	hslo-beta
KCNMB2	NA
KCNMB3	KCNMB2,KCNMBL
KCNMB4	NA
KCNN1	KCa2.1,hSK1
KCNN2	KCa2.2,hSK2
KCNN3	KCa2.3,hSK3,SKCA3
KCNN4	KCa3.1,hSK4,hKCa4,hIKCa1,IK
KCNQ1	LQT,KCNA9,Kv7.1,KCNA8,KVLQT1,JLNS1,LQT1
KCNQ2	EBN,EBN1,Kv7.2,ENB1,BFNC,KCNA11,HNSPC
KCNQ3	EBN2,Kv7.3
KCNQ4	DFNA2,Kv7.4
KCNQ5	Kv7.5
KCNRG	NA
KCNS1	Kv9.1
KCNS2	Kv9.2
KCNS3	Kv9.3
KCNT1	KCa4.1,KIAA1422,SLACK,Slo2.2
KCNT2	KCa4.2,SLICK,SLO2.1
KCNU1	KCa5.1,Slo3,KCNMC1,Kcnma3
KCNV1	Kv8.1
KCNV2	Kv8.2
KCP	CRIM2,FLJ33365,NET67
KCTD1	C18orf5
KCTD2	KIAA0176
KCTD3	NY-REN-45
KCTD4	bA321C24.3
KCTD5	FLJ20040
KCTD6	MGC27385,KCASH3
KCTD7	FLJ32069,EPM3,CLN14
KCTD8	NA
KCTD9	FLJ20038,BTBD27
KCTD10	MSTP028,BTBD28
KCTD11	C17orf36,REN,KCASH1
KCTD12	C13orf2,KIAA1778,PFET1
KCTD13	PDIP1,FKSG86,POLDIP1
KCTD14	MGC2376
KCTD15	MGC25497
KCTD16	KIAA1317
KCTD17	FLJ12242
KCTD18	FLJ31322,6530404F10Rik,FLJ37818
KCTD19	FLJ40162
KCTD20	C6orf69,dJ108K11.3,MGC14254
KCTD21	KCASH2
KDELC1	MGC5302,EP58
KDELC2	MGC33424
KDELR1	ERD2.1,ERD2,HDEL
KDELR2	ELP-1,ERD2.2
KDELR3	NA
KDF1	C1orf172,FLJ34633,RP11-344H11.3
KDM1A	AOF2,KDM1,KIAA0601,BHC110,LSD1
KDM1B	C6orf193,AOF1,FLJ34109,FLJ33898,dJ298J15.2,bA204B7.3,FLJ43328,LSD2
KDM2A	FBXL11,KIAA1004,FBL11,LILINA,DKFZP434M1735,FBL7,FLJ00115,CXXC8,JHDM1A
KDM2B	FBXL10,PCCX2,CXXC2,Fbl10,JHDM1B
KDM3A	JMJD1,JMJD1A,TSGA,KIAA0742,JHMD2A
KDM3B	C5orf7,JMJD1B,KIAA1082,NET22
KDM4A	JMJD2,JMJD2A,KIAA0677,JHDM3A,TDRD14A
KDM4B	JMJD2B,KIAA0876,TDRD14B
KDM4C	JMJD2C,GASC1,KIAA0780,TDRD14C
KDM4D	JMJD2D,FLJ10251
KDM4E	KDM4DL,JMJD2E
KDM5A	RBBP2,JARID1A
KDM5B	JARID1B,RBBP2H1A,PLU-1,CT31,PPP1R98
KDM5C	SMCX,JARID1C,MRX13,DXS1272E,XE169
KDM5D	HYA,HY,SMCY,JARID1D,KIAA0234
KDM6A	UTX
KDM6B	JMJD3,KIAA0346
KDM7A	JHDM1D,KIAA1718
KDM8	JMJD5,FLJ13798
KDR	FLK1,VEGFR,VEGFR2,CD309
KDSR	FVT1,DHSR,SDR35C1
KEAP1	KIAA0132,MGC10630,MGC1114,MGC20887,MGC4407,MGC9454,INrf2,KLHL19
KEL	ECE3,CD238
KERA	CNA2,SLRR2B
KHDC1	C6orf148,C6orf147,MGC10818,bA257K9.4,NDG1,Em:AC019205.8
KHDC1L	RP11-257K9.7
KHDC3L	C6orf221,ECAT1
KHDRBS1	Sam68,p62,FLJ34027
KHDRBS2	SLM1,SLM-1,MGC26664
KHDRBS3	T-STAR,Etle,etoile,SALP,SLM2,SLM-2
KHK	NA
KHNYN	KIAA0323
KHSRP	KSRP,FBP2,FUBP2
KIAA0020	XTP5,PEN,PUF6,hPUF-A,HA-8
KIAA0040	NA
KIAA0100	DKFZp686M0843,MGC111488,BCOX1,CT101,BCOX
KIAA0101	NS5ATP9,OEATC-1,p15(PAF),PAF15
KIAA0141	DELE
KIAA0195	TMEM94
KIAA0196	SPG8
KIAA0226	rubicon,rundataxin
KIAA0226L	C13orf18,FLJ21562
KIAA0232	NA
KIAA0319	NMIG
KIAA0319L	KIAA1837
KIAA0355	NA
KIAA0368	FLJ22036,ECM29
KIAA0391	MRPP3,PRORP
KIAA0408	NA
KIAA0430	LKAP,PPP1R34,Marf1
KIAA0513	NA
KIAA0556	NA
KIAA0586	Talpid3
KIAA0753	NA
KIAA0754	NA
KIAA0825	C5orf36,DKFZp686F0372,MGC34713
KIAA0895	NA
KIAA0895L	LOC653319
KIAA0907	BLOM7
KIAA0922	DKFZp586H1322,TMEM131L
KIAA0930	C22orf9,bK268H5.C22.1
KIAA1024	NA
KIAA1024L	NA
KIAA1033	SWIP
KIAA1045	NA
KIAA1107	NA
KIAA1109	FLJ21404,FSA,KIAA1371,Tweek
KIAA1143	NA
KIAA1147	LCHN
KIAA1161	NET37
KIAA1191	FLJ21022
KIAA1210	NA
KIAA1211	NA
KIAA1211L	C2orf55,MGC42367
KIAA1217	DKFZP761L0424,SKT
KIAA1257	NA
KIAA1279	DKFZP586B0923,TTC20
KIAA1324	maba1,EIG121
KIAA1324L	FLJ31340,EIG121L
KIAA1328	NA
KIAA1377	NA
KIAA1407	NA
KIAA1429	DKFZP434I116,fSAP121
KIAA1456	C8orf79,FLJ36980
KIAA1462	JCAD
KIAA1467	NA
KIAA1468	HsT885,HsT3308,FLJ33841
KIAA1522	NA
KIAA1524	CIP2A
KIAA1549	NA
KIAA1549L	C11orf69,C11orf41,G2,MGC34830
KIAA1551	C12orf35,FLJ20696,FLJ10652
KIAA1586	NA
KIAA1598	shootin1,shootin-1
KIAA1614	NA
KIAA1644	NA
KIAA1671	NA
KIAA1683	NA
KIAA1715	ulnaless,Ul,LNP1,LNP
KIAA1731NL	DDC8
KIAA1755	RP5-1054A22.3
KIAA1841	NA
KIAA1919	MGC33953,MFSD4B
KIAA1958	FLJ39294
KIAA2012	NA
KIAA2013	MGC33867,RP5-1077B9.1
KIAA2018	NA
KIAA2022	XPN,MRX98
KIAA2026	FLJ20375
KIDINS220	ARMS
KIF1A	ATSV,C2orf20,SPG30,UNC104
KIF1B	CMT2A,CMT2,KIAA0591,KLP,HMSNII
KIF1C	SAX2,SPAX2,SPG58
KIF2A	KIF2,HK2
KIF2B	NA
KIF2C	KNSL6,MCAK,CT139
KIF3A	FLA10,KLP-20
KIF3B	KIAA0359,FLA8,KLP-11
KIF3C	NA
KIF4A	KIF4-G1,KIF4,HSA271784,FLJ12530,FLJ12655,FLJ14204,FLJ20631,MRX100
KIF4B	NA
KIF5A	SPG10,D12S1889,NKHC,MY050
KIF5B	KNS1,KNS
KIF5C	NA
KIF6	C6orf102,dJ1043E3.1,MGC33317,dJ137F1.4,dJ188D3.1,DKFZp451I2418
KIF7	JBTS12
KIF9	MGC104186
KIF11	KNSL1,Eg5,HKSP,TRIP5
KIF12	NA
KIF13A	bA500C11.2
KIF13B	GAKIN,KIAA0639
KIF14	KIAA0042
KIF15	KNSL7,HKLP2,NY-BR-62
KIF16B	C20orf23,FLJ20135,dJ971B4.1,SNX23
KIF17	KIAA1405,KIF3X,KIF17B,OSM-3,KLP-2
KIF18A	DKFZP434G2226,PPP1R99
KIF18B	NA
KIF19	FLJ37300,KIF19A
KIF20A	RAB6KIFL
KIF20B	MPHOSPH1,MPP1,KRMP1,CT90
KIF21A	FEOM1,FLJ20052
KIF21B	DKFZP434J212,KIAA0449
KIF22	KNSL4,Kid,OBP-1,OBP-2
KIF23	KNSL5,MKLP1,MKLP-1
KIF24	C9orf48,bA571F15.4,FLJ10933,FLJ43884
KIF25	KNSL3
KIF26A	KIAA1236,DKFZP434N178
KIF26B	FLJ10157
KIF27	DKFZp434D0917
KIFAP3	SMAP,KAP3,FLA3,KAP-1
KIFC1	KNSL2,HSET
KIFC2	NA
KIFC3	NA
KIN	KIN17,Rts2
KIR2DL1	cl-42,nkat1,47.11,p58.1,CD158A
KIR2DL3	cl-6,nkat2,nkat2a,nkat2b,p58,CD158B2
KIR2DL4	103AS,15.212,CD158D
KIR2DS4	cl-39,KKA3,nkat8,CD158i
KIR3DL1	KIR,cl-2,NKB1,cl-11,nkat3,NKB1B,AMB11,CD158e1/2,CD158E1,CD158e2
KIR3DL2	cl-5,nkat4,nkat4a,nkat4b,CD158K
KIR3DL3	KIRC1,KIR3DL7,KIR44,CD158z
KIRREL	NEPH1
KIRREL2	NLG1,NEPH3,FILTRIN,DKFZp564A1164,MGC15718
KIRREL3	NEPH2,KIAA1867,KIRRE
KISS1	NA
KISS1R	GPR54,HOT7T175,AXOR12
KIT	PBT,CD117,SCFR,C-Kit
KITLG	MGF,SCF,SF,Kitl,KL-1,FPH2
KIZ	NCRNA00153,C20orf19,PLK1S1,HT013
KL	NA
KLB	NA
KLC1	KNS2,KNS2A,KLC,hKLC1S,hKLC1N,hKLC1P,hKLC1G,hKLC1R,hKLC1J,hKLC1B
KLC2	FLJ12387
KLC3	KLC2L,KNS2B,KLCt
KLC4	KNSL8,bA387M24.3
KLF1	EKLF
KLF2	LKLF
KLF3	BKLF
KLF4	EZF,GKLF
KLF5	BTEB2,IKLF,CKLF
KLF6	BCD1,ST12,COPEB,CPBP,GBF,Zf9,PAC1
KLF7	UKLF
KLF8	BKLF3,ZNF741,DXS741
KLF9	BTEB1
KLF10	TIEG,EGRA,TIEG1
KLF11	TIEG2,Tieg3,MODY7
KLF12	AP-2rep,HSPC122,AP2REP
KLF13	RFLAT-1,BTEB3,NSLP1,FKLF-2
KLF14	BTEB5
KLF15	KKLF
KLF16	NSLP2,BTEB4,DRRF
KLF17	ZNF393,Zfp393,FLJ40160
KLHDC1	MST025
KLHDC2	HCLP-1,LCP
KLHDC3	PEAS,hPeas,dJ20C7.3
KLHDC4	DKFZp434G0522
KLHDC7A	FLJ38753
KLHDC7B	MGC16635
KLHDC8A	FLJ10748
KLHDC8B	MGC35097
KLHDC9	KARCA1
KLHDC10	KIAA0265,slim
KLHL1	KIAA1490,MRP2,FLJ30047
KLHL2	MAV
KLHL3	KIAA1129
KLHL4	KIAA1687,DKELCHL,KHL4
KLHL5	NA
KLHL6	FLJ00029
KLHL7	KLHL6,SBBI26,RP42
KLHL8	KIAA1378
KLHL9	KIAA1354,FLJ13568
KLHL10	FLJ32662
KLHL11	FLJ10572
KLHL12	C3IP1
KLHL13	BKLHD2,KIAA1309,FLJ10262
KLHL14	KIAA1384
KLHL15	KIAA1677
KLHL17	NA
KLHL18	KIAA0795,FLJ13703
KLHL20	KLEIP,KHLHX
KLHL21	KIAA0469
KLHL22	FLJ14360,KELCHL
KLHL23	MGC2610,FLJ37812,MGC22679
KLHL24	DRE1,FLJ20059
KLHL25	FLJ12587,ENC2,ENC-2
KLHL26	NA
KLHL28	BTBD5,FLJ20081
KLHL29	KBTBD9,KIAA1921
KLHL30	FLJ43374
KLHL31	KBTBD1,bA345L23.2,BKLHD6
KLHL32	BKLHD5,KIAA1900
KLHL33	NA
KLHL34	FLJ34960,RP11-450P7.3
KLHL35	FLJ33790
KLHL36	C16orf44,FLJ12543
KLHL38	C8ORFK36
KLHL40	KBTBD5,SRYP,NEM8
KLHL41	KBTBD10,SARCOSIN,Krp1
KLHL42	KLHDC5,KIAA1340,Ctb9
KLK1	Klk6
KLK2	NA
KLK3	APS,PSA
KLK4	PRSS17,EMSP,EMSP1,PSTS,KLK-L1
KLK5	SCTE,KLK-L2
KLK6	PRSS9,PRSS18,Bssp,Klk7,neurosin
KLK7	PRSS6,SCCE
KLK8	PRSS19,HNP,TADG14,neuropsin,ovasin
KLK9	KLK-L3
KLK10	PRSSL1,NES1
KLK11	PRSS20,TLSP
KLK12	KLK-L5
KLK13	KLK-L4
KLK14	KLK-L6
KLK15	HSRNASPH,ACO,prostinogen
KLKB1	KLK3
KLLN	killin
KLRB1	NKR,CD161,NKR-P1,NKR-P1A,hNKR-P1A,CLEC5B
KLRC1	NKG2,NKG2-A,NKG2-B,CD159a
KLRC2	NKG2-C,CD159c
KLRC3	NKG2-E
KLRC4	NKG2-F
KLRD1	CD94
KLRF1	CLEC5C,NKp80
KLRF2	NKp65
KLRG1	MAFA,2F1,MAFA-L,CLEC15A
KLRG2	FLJ44186,CLEC15B
KLRK1	D12S2489E,NKG2D,KLR,NKG2-D,CD314
KMO	NA
KMT2A	MLL,TRX1,HRX,ALL-1,HTRX1,CXXC7,MLL1A
