Gene
BMP4
BMPR1A
BMPR2
CHRNA7
COL11A2
COL1A1
COL2A1
COL5A1
ELN
EYA1
FAS
FBN1
FGF10
FOXC1
FOXC2
FZD4
GATA3
GCH1
HOXD13
IRF6
JAG1
KCNH2
KCNQ1
KCNQ2
KIF11
LHX4
MITF
MNX1
MYCN
NF1
NKX2-5
NOG
NRXN1
NSD1
PAX2
PAX3
PITX2
PTEN
RB1
RET
RPS19
RPS24
RPS26
RUNX2
SALL1
SALL4
SF3B4
SMAD3
SMAD4
SMARCB1
SOX10
SOX2
SPRED1
STK11
TBX1
TBX3
TBX5
TCF12
TCOF1
TRPS1
TSC1
TSC2
WT1
ACSL4
BCOR
DCX
EBP
EFNB1
FLNA
FMR1
GRIA3
LAMP2
NSDHL
OFD1
OTC
PDHA1
PHF6
PLP1
PORCN
SLC6A8
SLC9A6
