SF3B4
LHX4
IRF6
GLMN
PAX2
BAG3
RET
RPS24
GATA3
BMPR1A
PTEN
KIF11
KCNQ1
CDKN1C
PAX6
WT1
EXT2
ALX4
FZD4
PTPN11
TBX5
TBX3
GRIN2B
COL2A1
KMT2D
RPS26
LEMD3
ZIC2
BRCA2
RB1
EDNRB
FOXG1
PAX9
OTX2
UBE3A
CHRNA7
SPRED1
FBN1
SMAD3
AAGAB
CHD2
IGF1R
TSC2
PKD1
PRRT2
CREBBP
SALL1
FOXF1
FOXC2
ANKRD11
PMP22
RAI1
PAFAH1B1
NF1
HNF1B
EFTUD2
KANSL1
COL1A1
NOG
SOX9
TP53
GATA6
TGIF1
SMAD4
TCF4
RPS19
GLI2
ZEB2
MBD5
MYCN
SCN2A
SCN1A
HOXD13
SATB2
BMPR2
PAX3
SIX3
NRXN1
JAG1
ASXL1
GDF5
SALL4
GNAS
KCNQ2
RUNX1
DYRK1A
SMARCB1
NF2
SOX10
EP300
SHANK3
VHL
GATA2
FOXL2
SOX2
MITF
FOXP1
SETD5
PITX2
MSX1
PKD2
APC
TCOF1
NKX2-5
MSX2
NSD1
NIPBL
FGF10
RASA1
MEF2C
EYA4
ARID1B
FOXC1
SYNGAP1
RUNX2
SHH
MNX1
TWIST1
GLI3
AUTS2
ELN
SGCE
TRPS1
EXT1
FGFR1
CHD7
EYA1
NR5A1
LMX1B
STXBP1
TSC1
EHMT1
PTCH1
TIMM8A
BTK
GLA
PLP1
MID1
PRPS1
COL4A5
ACSL4
DCX
HCCS
UPF3B
LAMP2
CUL4B
GRIA3
XIAP
SH2D1A
OCRL
FRMD7
GPC3
PHF6
HPRT1
SLC9A6
ZIC3
TRAPPC2
OFD1
F9
FMR1
AFF2
IDS
FANCB
MTM1
NSDHL
SLC6A8
ABCD1
L1CAM
AVPR2
MECP2
FLNA
IKBKG
F8
RAB39B
AP1S2
NHS
CDKL5
RS1
PDHA1
RPS6KA3
SMS
PHEX
ARX
ARSE
IL1RAPL1
NR0B1
GK
DMD
CYBB
OTC
BCOR
NYX
CASK
NDP
KDM6A
RP2
FTSJ1
PORCN
EBP
PQBP1
CLCN5
KDM5C
PHF8
FGD1
NLGN4X
SHOX
AR
OPHN1
EFNB1
EDA
DLG3
STS
SLC16A2
ATRX
ATP7A
PGK1
TBX22
KAL1
CHM
PCDH19
SRY
