AAK1
AATK
ABAT
ABCA10
ABCB4
ABCC11
ABCC5
ABCC9
ABCG5
ACACA
ACACB
ACAT1
ACE
ACE2
ACER1
ACER2
ACHE
ACKR2
ACKR3
ACKR4
ACR
ACVRL1
ADA
ADAM10
ADAM11
ADAM12
ADAM15
ADAM19
ADAM2
ADAM20
ADAM21
ADAM22
ADAM29
ADAM30
ADAM32
ADAM33
ADAM7
ADAM8
ADAM9
ADAMTS1
ADAMTS15
ADAMTS4
ADAMTS5
ADCK1
ADCK2
ADCK4
ADCK5
ADCY1
ADCY2
ADCY4
ADCY5
ADCY6
ADCY7
ADCY8
ADCY9
ADCYAP1R1
ADIPOR1
ADIPOR2
ADK
ADORA1
ADORA2A
ADORA2B
ADORA3
ADRA1B
ADRA1D
ADRA2A
ADRA2B
ADRA2C
ADRB1
ADRB2
ADRB3
ADRBK1
AEBP1
AGTR1
AGTR2
AHCY
AKR1C3
AKT1
AKT2
AKT3
ALDH2
ALK
ALOX5
ALOXE3
ALPK1
ALPK3
AMD1
ANKK1
ANPEP
APEH
APLNR
AQP1
AQP10
AQP2
AQP3
AQP4
AQP5
AQP7
AQP8
AQP9
AR
ARG2
ASAH1
ASAH2
ASAH2B
ASH1L
ASPG
ATM
ATP10B
ATP10D
ATP11A
ATP11B
ATP11C
ATP1A1
ATP1A3
ATP1B2
ATP1B3
ATP7A
ATP9B
AURKA
AURKB
AURKC
AVPR1A
AVPR1B
AVPR2
AZIN2
BACE1
BACE2
BAI1
BAI2
BAI3
BCHE
BCKDK
BCR
BDKRB1
BDKRB2
BIRC2
BIRC3
BIRC5
BIRC6
BIRC7
BIRC8
BMP1
BMP2K
BMX
BPTF
BRD1
BRD2
BRD3
BRD4
BRD7
BRD8
BRD9
BRS3
BRSK1
BRSK2
BRWD1
BRWD3
BTK
BUB1
BUB1B
C3AR1
C5AR1
C5AR2
C9orf3
CA1
CA12
CA13
CA14
CA4
CA7
CACNA1A
CACNA1B
CACNA1D
CACNA1G
CACNA1H
CACNA1I
CALCR
CALCRL
CAMK1
CAMK1D
CAMK1G
CAMK2A
CAMK2B
CAMK2D
CAMK2G
CAMK4
CAMKV
CARM1
CASK
CASP1
CASP10
CASP14
CASP3
CASP4
CASP5
CASP6
CASP7
CASP8
CASR
CATSPER1
CATSPER2
CATSPER3
CBS
CCKAR
CCKBR
CCR1
CCR10
CCR2
CCR3
CCR5
CCR6
CCR7
