ACHE
ALPI
ALPL
ALPP
ALPPL2
ART1
ART3
ART4
BCAN
BST1
BST2
CA4
CD109
CD14
CD160
CD177
CD24
CD48
CD52
CD55
CD59
CDH13
CEACAM5
CEACAM6
CEACAM7
CEACAM8
CFC1
CNTFR
CNTN1
CNTN2
CNTN3
CNTN4
CNTN5
CNTN6
CPM
CPOX
DPEP1
DPEP2
DPEP3
EFNA1
EFNA2
EFNA3
EFNA4
EFNA5
ENPP6
FCGR3B
FOLR1
FOLR2
GAS1
GFRA1
GFRA2
GFRA3
GFRA4
GLIPR1L1
GML
GP2
GPC1
GPC2
GPC3
GPC4
GPC5
GPC6
GPIHBP1
HFE2
HYAL2
IGSF21
ITLN1
IZUMO1R
LPL
LSAMP
LY6D
LY6E
LY6G6C
LY6G6F
LY6H
LY6K
LYNX1
LYPD1
LYPD2
LYPD3
LYPD4
LYPD5
LYPD6
LYPD6B
LYPD8
MDGA1
MDGA2
MMP17
MMP25
MSLN
NCAM1
NEGR1
NRN1
NRN1L
NT5E
NTM
NTNG2
OMG
OPCML
OTOA
PLAUR
PLET1
PRND
PRNP
PRSS21
PSCA
RAET1G
RAET1L
RECK
RGMA
RGMB
RTN4R
RTN4RL1
RTN4RL2
SEMA7A
SMPDL3B
SPACA4
SPAM1
SPRN
TDGF1
TECTA
TECTB
TEX101
TFPI
THY1
TNFRSF10C
TREH
ULBP1
ULBP2
ULBP3
UMOD
VNN1
VNN2
VNN3
XPNPEP2
