AAAS
AASS
ABAT
ABCA1
ABCA12
ABCA3
ABCA4
ABCB11
ABCC2
ABCC6
ABCD3
ABCG5
ABCG8
ABHD12
ABHD5
ACAD8
ACAD9
ACADL
ACADM
ACADS
ACADSB
ACADVL
ACAT1
ACE
ACOX1
ACY1
ADA
ADAM9
ADAMTS17
ADAMTS2
ADAMTSL2
ADAMTSL4
ADCK3
ADSL
AGA
AGL
AGPAT2
AGPS
AGRN
AGT
AGTR1
AGXT
AHCY
AHI1
AICDA
AIPL1
AIRE
AK2
AKR1D1
ALAD
ALDH18A1
ALDH3A2
ALDH4A1
ALDH5A1
ALDH6A1
ALDH7A1
ALDH9A1
ALDOA
ALDOB
ALG12
ALG2
ALG3
ALG6
ALG8
ALG9
ALMS1
ALOX12B
ALOXE3
ALPL
ALS2
ALX3
AMACR
AMH
AMHR2
AMN
AMT
ANGPTL3
ANO10
ANO6
ANTXR2
AP3B1
AP4M1
AP5Z1
APOB
APOC2
APOE
APRT
APTX
AQP2
ARFGEF2
ARL13B
ARL6
ARSA
ARSB
ASAH1
ASH1L
ASL
ASPA
ASPM
ASS1
ATCAY
ATIC
ATM
ATP13A2
ATP2A1
ATP6V0A2
ATP6V0A4
ATP6V1B1
ATP7B
ATP8B1
ATPAF2
ATR
AUH
AURKC
B2M
B3GALTL
B4GALT7
BAAT
BBS1
BBS10
BBS12
BBS2
BBS4
BBS5
BBS7
BBS9
BCHE
BCKDHA
BCKDHB
BCS1L
BDNF
BFSP1
BIN1
BLM
BLNK
BLOC1S3
BPGM
BRAF
BSND
BTD
BUB1B
C12orf65
C14orf166
C1QB
C1QC
C1R
C1S
C2
C2orf71
C4A
C5
C9
CA2
CABP4
CACNA2D4
CAPN3
CARD9
CASP8
CASQ2
CATSPER1
CAV1
CBS
CBX2
CC2D1A
CC2D2A
CCBE1
CCT5
CD151
CD19
CD247
CD320
CD36
CD3D
CD3E
CD3G
CD40
CD79A
CD81
CD8A
CD96
CDAN1
CDH15
CDH23
CDH3
CDK5RAP2
CEBPE
CEP152
CEP290
CERKL
CFC1
CFI
CFL2
CFTR
CHAT
CHRNB1
CHRNE
CHRNG
CHST14
CHST6
CHUK
CIRH1A
CLCF1
CLCN1
CLCN7
