ABCB1
ADAM10
ADIPOQ
ADORA2A
ADRB3
ALOX5AP
APCS
APH1A
APH1B
APP
BDKRB2
BICD1
BRD2
BRD3
BRD4
C5AR1
CACNA1B
CAMKK2
CASR
CCAR2
CCKAR
CCKBR
CCL11
CCL7
CCL8
CCR1
CCR3
CCR5
CCR9
CD3D
CD3E
CD3G
CD4
CDH2
CHRM3
CHRM4
CHRNA3
CHRNA4
CHRNA5
CHRNA6
CHRNA7
CHRNB2
CLEC16A
CNR2
CNTN5
CTLA4
CTSK
CXCL1
CXCL2
CXCL3
CXCL5
CXCL8
CXCR2
CYSLTR1
CYSLTR2
DPP3
DPP4
DRD2
DRD3
DYRK3
EDNRA
EDNRB
EGR1
ELANE
EVI5
FAAH
FGF10
FH
GABRA2
GABRA3
GHSR
GJD2
GLP1R
GPBAR1
GPR119
GRIN1
GRIN2B
GRM5
GSK3B
HCAR2
HCRTR1
HCRTR2
HHIP
HRH1
HRH3
HTR1A
HTR1B
HTR2C
HTR4
HTR6
IFNL3
IKBKB
IL13
IL18
IL1R1
IL23A
IL4
IL5
IL6
IL7R
ITGA4
ITGAV
ITGB1
JAK3
KCNC2
KCNMA1
KCNN4
L1CAM
LDHA
LEP
LRRK2
MAG
MAPK11
MAPK14
MCHR1
MCHR2
METAP2
MLNR
MME
MMP12
MMP9
MS4A2
NCSTN
NFKBIL1
NLRP1
NLRP3
NMNAT2
NOS2
NR1D1
NRXN1
NTRK2
OPRK1
OPRM1
OSM
OXTR
P2RX7
P4HA1
P4HA2
P4HB
PDE4A
PDE5A
PGK1
PIK3CA
PLA2G7
PPARD
PRKAG1
PSEN1
PSEN2
PSENEN
PTGDR
PTGER1
PTGES
PTGIR
PTGS1
PTGS2
PTH1R
PYGB
RIPK2
RORA
RORC
RTN4
S100A9
S1PR1
SCN9A
SDHB
SDHD
SIRT1
SIRT2
SIRT3
SIRT4
SIRT5
SIRT6
SIRT7
SLC10A1
SLC10A2
SLC22A5
SLC5A1
SLC6A4
SLC6A9
SP110
STIM1
STK39
SYK
TACR1
TACR2
TACR3
TBXA2R
TGFB1
TGFBR1
TLR4
TLR7
TLR9
TNFRSF1A
TNFSF11
TNNI3K
TRPC3
TRPC6
TRPM8
TRPV1
UTS2R
ZAP70
