BRCA1
BRCA2
TP53
STK11
MLH1
MSH2
MSH6
PMS2
APC
MUTYH
BMPR1A
SMAD4
VHL
MEN1
RET
PTEN
RB1
SDHD
SDHAF2
SDHC
SDHB
TSC1
TSC2
WT1
NF2
COL3A1
FBN1
TGFBR1
TGFBR2
SMAD3
ACTA2
MYH11
MYBPC3
MYH7
TNNT2
TNNI3
TPM1
MYL3
ACTC1
PRKAG2
GLA
MYL2
LMNA
RYR2
PKP2
DSP
DSC2
TMEM43
DSG2
KCNQ1
KCNH2
SCN5A
LDLR
APOB
PCSK9
ATP7B
OTC
RYR1
CACNA1S
