AARS
ABCC9
ACTA2
ACTB
ACTC1
ACTG1
ACTN2
ACTN4
ACVR2B
ACVRL1
ADAR
AFG3L2
AIP
AK1
AKAP9
AKT2
AMPD1
ANG
ANK2
ANKH
APC
APOA2
APOA5
APOB
APP
ATL1
ATP1A2
ATP2A2
ATP2C1
ATXN1
ATXN10
ATXN2
ATXN3
ATXN7
AXIN2
BAG3
BCO1
BEST1
BFSP2
BLK
BMP4
BMPR1A
BMPR1B
BMPR2
BRCA1
BRIP1
C1QA
C1QTNF5
C3
C8A
C8B
CA12
CA4
CACNA1A
CACNA1S
CACNB2
CASP10
CAT
CBL
CCDC50
CCM2
CD2AP
CDC73
CDH1
CDH15
CDHR1
CDK4
CDKN1B
CDKN1C
CDKN2A
CDSN
CEL
CETP
CFD
CHD7
CHEK2
CHMP2B
CHMP4B
CHN1
CHRNA2
CHRNA4
CHRNB2
CHST3
CIITA
CISD2
CLCN2
CLEC7A
CNBP
COCH
COL10A1
COL11A1
COL1A1
COL1A2
COL2A1
COL3A1
COL4A1
COL5A1
COL5A2
COL6A1
COL6A2
COL6A3
COL8A2
COL9A1
COL9A2
COMP
CPOX
CRX
CRYAA
CRYAB
CRYBA1
CRYBA4
CRYBB1
CRYBB2
CRYGC
CRYGD
CRYGS
CRYM
CSF3R
CSPG4
CSRP3
CST3
CXCR4
CYCS
CYLD
DCN
DCTN1
DFNA5
DGCR2
DIAPH1
DMPK
DNM1L
DNM2
DRD2
DRD5
DSG1
DSG2
DSPP
DTNA
DTNBP1
DUSP8
ECE1
EFEMP1
EGLN1
EHMT1
ELN
ELOVL4
EMX2
ENG
ENTPD3
EP300
EPAS1
EPB41
EPHA2
EPOR
ESR1
EXT1
EXT2
EYA1
EYA4
F2
FAM83H
FAS
FBF1
FBLN1
FBN2
FGA
FGF10
FGF14
FGF8
FGF9
FGFR1
FGFR1OP
FGFR2
FGFR3
FGG
FIGLA
FLCN
FLG
FLNC
FN1
FOXC1
FOXC2
FOXG1
FOXL2
FOXP1
FOXP2
FSCN2
FTH1
FTL
FXYD2
GABRG2
GARS
GATA3
GATA4
GBGT1
GCM2
GDF3
GDF6
GDNF
GFAP
GFI1
GJA3
GJA5
GJA8
GJB4
GLI3
GLMN
GLUD1
GNAS
GNAT1
GP1BA
GPD1L
GPI
GRHL2
GRN
GSN
GUCA1A
GUCA1B
HBA1
HBA2
HBD
HCN4
HCRT
HDAC4
HMBS
HNF1B
HNF4A
HOXA11
HOXA13
HOXD10
HOXD13
HRAS
HSF4
HSPB3
HSPB8
HTRA2
HTT
IDH2
IMPDH1
INF2
INS
IRF6
ITGA2
ITM2B
ITPR1
JAG1
JAK2
JPH3
KBTBD13
KCNA1
KCNA5
KCNC3
KCNE1
KCNE2
KCNH2
KCNJ13
KCNJ2
KCNJ5
KCNMA1
KCNQ1
KCNQ2
KCNQ3
