ALAS2
AMELX
AMER1
BCOR
CASK
CDKL5
CHM
COL4A5
DCX
EFNB1
FAM58A
FHL1
FMR1
FRMD7
GJB1
GJB6
GYPE
HCCS
IKBKG
LAMP2
MAGT1
MECP2
NAT8
NDUFA1
NHS
NSDHL
OFD1
PDHA1
PHEX
PORCN
RPS6KA3
RS1
SLC16A2
SLC9A6
