ABCB7
ABCD1
ACSL4
AGTR2
AIFM1
AP1S2
AR
ARHGEF6
ARHGEF9
ARSE
ARX
ATP6AP2
AVPR2
BRWD3
BTK
CACNA1F
CD40LG
CFP
CLCN5
CUL4B
CYBB
DKC1
DLG3
DMD
EMD
F8
F9
FGD1
FOXP3
FTSJ1
G6PD
GATA1
GDI1
GK
GPC3
GPR143
GRIA3
HPRT1
HSD17B10
HUWE1
IDS
IGBP1
IL1RAPL1
IL2RG
IQSEC2
KAL1
KDM5C
L1CAM
MAMLD1
MAOA
MBTPS2
MED12
MTM1
MVK
NDP
NR0B1
NYX
OPHN1
OTC
PAK3
PGK1
PHF6
PHF8
PHKA1
PHKA2
PLP1
POU3F4
PQBP1
PRPS1
RAB39B
RBM10
RP2
RPGR
SERPINA7
SH2D1A
SHROOM4
SLC6A8
SMC1A
SMS
SOX3
SP7
SRPX2
STS
SYN1
SYP
TAF1
TAZ
TBX22
TIMM8A
TRAPPC2
TSPAN7
UBA1
UBE2A
UPF3B
WAS
XIAP
XK
ZDHHC9
ZIC3
ZNF41
ZNF674
ZNF81
