Gene
ADNP
AHDC1
ANKRD11
ARID1A
ARID1B
ARID2
AUTS2
CHAMP1
CHD2
CHD7
CHD8
CREBBP
CTCF
CTNNB1
DMRT1
DYRK1A
EFTUD2
EHMT1
EP300
FOXG1
FOXP1
GATA2
GATA6
GLI2
GRIN2B
HIVEP2
HNRNPK
KANSL1
KMT2D
MBD5
MED13L
MEF2C
NFIA
NIPBL
OTX2
PAFAH1B1
PURA
RAI1
RERE
SATB2
SCN1A
SCN2A
SETBP1
SETD5
SHANK3
SHH
SIX3
SLC2A1
SOX5
SOX9
STXBP1
SYNGAP1
TCF4
TGIF1
ZEB2
ZIC2
CASK
CDKL5
HCCS
KDM6A
MECP2
PCDH19
WDR45
