AKT1
APC
ATM
ATR
AXIN2
BAP1
BARD1
BMPR1A
BRCA1
BRCA2
BRIP1
CDH1
CDK4
CDKN2A
CHEK1
CHEK2
CTNNA1
EPCAM
FAM175A
FANCM
FH
FLCN
GALNT12
GEN1
GREM1
HOXB13
MEN1
MET
MITF
MLH1
MRE11A
MSH2
MSH6
MUTYH
NBN
NF1
NTHL1
PALB2
PALLD
PDGFRA
PIK3CA
PMS2
POLD1
POLE
POT1
PRKAR1A
PRSS1
PTCH1
PTEN
RAD51B
RAD51C
RAD51D
RB1
RECQL
RET
RINT1
RPS20
SDHB
SDHC
SDHD
SLX4
SMAD4
SMARCA4
TP53
VHL
XRCC2
