A2M
ABCA10
ABCA8
ABCC11
ABCC12
ABHD12B
ABHD14B
ACSBG2
ACSM2A
ACSM2B
ACSM3
ADAM2
ADPRHL1
ADSSL1
AHNAK2
AKAP3
ALDH1B1
ANKRD30A
ANKRD35
ANO5
AP1G2
APIP
APOBEC3A
APOBEC3B
ASB15
ASPSCR1
ATP10B
ATP11A
ATP12A
ATP2C2
BPHL
BPIFA3
BTN3A3
BTNL2
BTNL8
BTNL9
C10orf53
C11orf40
C1orf127
C2orf40
C3orf14
C4orf46
C4orf50
C6
CABYR
CAPN9
CARD6
CCDC121
CCDC13
CCDC60
CCDC66
CD180
CD36
CD96
CDH19
CDK11A
CDKL2
CELA1
CEP72
CES1
CES5A
CFHR1
CFHR2
CFHR3
CHD1L
CHIT1
CHPF2
CLCN1
CLYBL
CNKSR1
COL16A1
COL6A2
COL6A5
CPXM2
CROT
CRYGN
CRYZ
CSH1
CTSE
CYP2A6
CYP2C8
CYP2D6
CYP2F1
CYP3A5
CYP4B1
DCDC2B
DCHS2
DDX60
DEFB126
DHDH
DMBT1
DNAH7
DQX1
DUOX2
ECT2L
EFCAB13
EFCAB3
EFCAB5
EFCAB6
ENOSF1
ENPEP
EPPK1
EPX
ERAP1
ERV3-1
EXO5
FAM129C
FAM151A
FAM187B
FAM45A
FAM81B
FCGBP
FCGR2A
FCN3
FLG
FLG2
FMO2
FRG2B
FUT2
FUT6
GADL1
GBGT1
GBP3
GBP4
GCFC2
GH2
GJB4
GLB1L2
GMPR
GOLGA8S
GP6
GPATCH2L
GRIN3B
GRK7
GYPB
HELB
HK3
HLA-B
HLA-DPA1
HPSE
HRG
HRNR
IDI2
IFIH1
IFNK
IL17RC
IL3RA
IQCH
ITIH1
KIAA0753
KIAA1257
KIAA1586
KIR3DL1
KLK14
KLK3
KRT4
KRT77
KRT83
LMF2
LMO7
LPA
LRRC39
LRTM1
MANEA
MAP3K4
MAZ
MCF2L
MCOLN3
MFSD9
MGAM
MLANA
MMP10
MOGAT1
MOK
MOXD1
MS4A6A
MST1
MUC17
MUC6
MUTYH
MYBBP1A
MYH1
MYH13
MYH8
MYO1A
MYOC
MYOF
NAALAD2
NBPF14
NBPF15
NEIL1
NLRP13
NLRP9
NOP16
NUDT8
OARD1
OBSCN
OCEL1
OR8S1
PAPLN
PDE11A
PDIA2
PGPEP1L
PHRF1
PKD1L2
PKHD1L1
PLA2G2C
PLA2G4D
PLA2R1
PLEKHG7
PLIN4
PNLIPRP3
POLM
POTEH
PPEF2
PPL
PPP1R3A
PRAMEF2
PRB1
PRB2
PRB4
PSG1
PSG11
PSG4
PSG9
PTCHD3
PTGDR
PXDNL
PZP
RAI1
RERGL
RETSAT
RFPL1
RGPD4
RGS11
RHD
RNF32
ROPN1B
RP1L1
RPTN
RTKN2
RTP1
SAMD11
SEMG2
SERHL2
SERPINA10
SERPINA9
SERPINB3
SFI1
SIGLEC1
SIGLEC5
SLC17A9
SLC22A10
SLC22A14
SLC22A25
SLC26A10
SLC5A4
SLCO1B1
SLFN13
SPATA31A6
SPATA4
SPATC1
SPNS3
SULT1A2
SULT1C4
SYNM
SYTL2
TAF6
TCF3
TCHHL1
TEKT3
TGM4
THBS4
THEM5
TIGD6
TLR10
TLR5
TMC2
TMEM82
TMIE
TMPRSS7
TNN
TRIM22
TRIM45
TRIM48
TRIM59
TRMT10B
TRMT2A
TTC38
TTN
UGT2B10
UGT2B17
UGT2B28
UMODL1
UNC93A
UPB1
UPK3A
UPP2
USP45
USP6
VILL
VWA3B
VWA7
WDR27
WDR90
XIRP1
XRRA1
ZAN
ZNF223
ZNF229
ZNF257
ZNF30
ZNF343
ZNF396
ZNF417
ZNF486
ZNF528
ZNF544
ZNF587
ZNF599
ZNF611
ZNF790
ZNF83
ZNF831
ZNF844
ZNF846
ZNF860
ZNF878
ZNF92
ZRANB3
