ALKBH2
ALKBH3
APEX1
APEX2
ATM
ATR
ATRIP
BLM
BRCA1
BRCA2
BRIP1
C17orf70
C19orf40
CCNH
CDK7
CETN2
CHEK1
CHEK2
CLK2
CLSPN
DCLRE1A
DCLRE1B
DCLRE1C
DDB1
DDB2
DUT
ERCC1
ERCC2
ERCC3
ERCC4
ERCC5
ERCC6
ERCC8
FANCA
FANCB
FANCC
FANCD2
FANCE
FANCF
FANCG
FANCI
FANCL
FANCM
FBXO18
GTF2H1
GTF2H3
GTF2H4
GTF2H5
H2AFX
HLTF
HUS1
LIG1
LIG3
LIG4
MAD2L2
MBD4
MDC1
MGMT
MLH1
MLH3
MNAT1
MPG
MRE11A
MSH2
MSH3
MSH6
MUS81
MUTYH
NBN
NEIL1
NEIL2
NEIL3
NHEJ1
NTHL1
NUDT1
OBFC2B
OGG1
PALB2
PARP1
PARP2
PCNA
PER1
PER2
PMS1
PMS2
PMS2L3
PNKP
POLB
POLD1
POLE
POLH
POLI
POLK
POLL
POLM
POLN
POLQ
PRKDC
RAD1
RAD17
RAD18
RAD23A
RAD23B
RAD50
RAD51
RAD51C
RAD51L1
RAD51L3
RAD52
RAD54B
RAD54L
RAD9A
RBBP8
RDM1
RECQL
RECQL4
RECQL5
REV1
REV3L
RNF8
RPA1
RPA2
RPA3
RPA4
SHFM1
SHPRH
SMUG1
TDG
TDP1
TOP2A
TOPBP1
TP53
TP53BP1
UBE2A
UBE2B
UBE2I
UBE2N
UBE2V2
UNG
USP1
WDR48
WRN
XAB2
XPA
XPC
XRCC1
XRCC2
XRCC3
XRCC4
XRCC5
XRCC6
