AAGAB
ALX4
DEPDC5
EDNRB
EXT1
EXT2
FGFR1
FOXL2
GDF5
GLI3
IGF1R
LEMD3
LMX1B
MSX1
MSX2
NR5A1
OPA1
PAX6
PAX9
PRRT2
PTPN11
RASA1
RNF135
RUNX1
SRY
TFAP2B
TWIST1
AP1S2
ARX
AVPR2
CUL4B
CYBB
DMD
EDA
FRMD7
IKBKG
IL1RAPL1
KDM5C
L1CAM
MID1
NHS
NR0B1
PHEX
RPS6KA3
SHOX
STS
