ALKBH2
ALKBH3
APEX1
APEX2
APLF
APTX
ATM
ATR
ATRIP
BLM
BRCA1
BRCA2
BRIP1
BTBD12
CCNH
CDK7
CETN2
CHAF1A
CHEK1
CHEK2
CLK2
DCLRE1A
DCLRE1B
DCLRE1C
DDB1
DDB2
DMC1
DUT
EME1
EME2
ENDOV
ERCC1
ERCC2
ERCC3
ERCC4
ERCC5
ERCC6
ERCC8
EXO1
FAAP20
FAAP24
FAN1
FANCA
FANCB
FANCC
FANCD2
FANCE
FANCF
FANCG
FANCI
FANCL
FANCM
FEN1
GEN1
GIYD1
GIYD2
GTF2H1
GTF2H2
GTF2H3
GTF2H4
GTF2H5
H2AFX
HELQ
HLTF
HUS1
LIG1
LIG3
LIG4
MAD2L2
MBD4
MDC1
MGMT
MLH1
MLH3
MMS19
MNAT1
MPG
MRE11A
MSH2
MSH3
MSH4
MSH5
MSH6
MUS81
MUTYH
NBN
NEIL1
NEIL2
NEIL3
NHEJ1
NTHL1
NUDT1
OBFC2B
OGG1
PALB2
PARP1
PARP2
PARP3
PCNA
PER1
PMS1
PMS2
PMS2L3
PNKP
POLB
POLD1
POLE
POLG
POLH
POLI
POLK
POLL
POLM
POLN
POLQ
PRKDC
PRPF19
RAD1
RAD17
RAD18
RAD23A
RAD23B
RAD50
RAD51
RAD51B
RAD51C
RAD51D
RAD52
RAD54B
RAD54L
RAD9A
RBBP8
RDM1
RECQL
RECQL4
RECQL5
REV1L
REV3L
RIF1
RNF168
RNF4
RNF8
RPA1
RPA2
RPA3
RPA4
RRM2B
SETMAR
SHFM1
SHPRH
SMUG1
SPO11
SPRTN
TDG
TDP1
TDP2
TOPBP1
TP53
TP53BP1
TREX1
TREX2
TTDN1
UBE2A
UBE2B
UBE2N
UBE2V2
UNG
UVSSA
WRN
XAB2
XPA
XPC
XRCC1
XRCC2
XRCC3
XRCC4
XRCC5
XRCC6
