RERE
PLCH2
GNB1
SKI
CAMTA1
AGRN
KIF1B
CHD5
CLSTN1
VPS13D
MTOR
PINK1
CAMK2N1
EIF4G3
SPEN
ATP13A2
RAP1GAP
ARID1A
MAP7D1
GRIK3
DLGAP3
PUM1
BAI2
MACF1
NCDN
AHDC1
HIVEP3
ZYG11B
LRP8
MAST2
LRRC41
IPO13
PTPRF
LRRC7
PRKACB
TTLL7
PDE4B
JAK1
LRRC8B
DNAJC6
SGIP1
SLC6A17
SORT1
HIPK1
KCNA2
LPPR4
PDE4DIP
ATP1A1
CELSR2
UBAP2L
SV2A
RPRD2
ARHGEF2
MEF2D
ATP1A2
ASH1L
BCAN
ARHGEF11
RUSC1
CACNA1E
RC3H1
DCAF6
GLUL
ATP1B1
PRRC2C
CAMSAP2
PLXNA2
NAV1
KIF21B
LRRN2
ATP2B4
KCNH1
RYR2
PCNXL2
CDC42BPA
SIPA1L2
AKT3
RHOB
KIF3C
BIRC6
PUM2
NCOA1
GTF3C2
MYT1L
RTN4
HEATR5B
AAK1
SPTBN1
NRXN1
SLC8A1
PRKCE
USP34
INPP4A
NPAS2
DCTN1
FBXO41
AFF3
ANAPC1
R3HDM1
ARHGEF4
ZEB2
MAP4K4
CLASP1
SAP130
KIF5C
RAPGEF4
MBD5
SCN2A
CHN1
PKP4
NCKAP1
UBR3
KCNH7
FAM171B
BMPR2
MAP2
PIKFYVE
TRAK2
ALS2
TRIP12
NGEF
SPEG
CDK5R2
SPHKAP
SLC4A3
AGAP1
EPHA4
SH3BP4
ATG9A
STK25
KIF1A
HDLBP
HDAC4
ATP2B2
ITPR1
LHFPL4
SETD5
SLC6A1
CLASP2
ARPP21
SRGAP3
TRAK1
SCAP
CTNNB1
PLXNB1
DHX30
LARS2
CELSR3
MAP4
WDR6
UQCRC1
CADPS
BSN
NISCH
PTPRG
DOCK3
PRICKLE2
BAP1
GSK3B
ADCY5
KALRN
KIAA2018
PLXNA1
COPG1
CHST2
PLXND1
TNIK
EIF4G1
KIAA0226
TNK2
PCDH7
ARAP2
PPARGC1A
HTT
NAT8L
CTBP1
CRMP1
CPLX1
ADD1
PPP2R2C
ANKRD17
LPHN3
SLC4A4
SPARCL1
ANK2
PPP3CA
WDFY3
KIAA1109
CPE
FAT4
PCDH10
RAPGEF2
ZNF827
TBC1D9
TRIM2
CLCN3
GPM6A
FAT1
STOX2
SORBS2
PDZD2
TPPP
TRIO
MYO10
ZFR
KIAA0947
CTNND2
RGS7BP
MAP1B
ENC1
MAST4
NR2F1
PDE8B
PJA2
APC
EGR1
AFF4
FAT2
PCDHAC2
SYNPO
PCDHGC3
HMGXB3
CAMK2A
NDST1
PCDH1
PCDHA4
CYFIP2
PCDHGA12
UNC5A
GPRIN1
CPLX2
WWC1
NSD1
TBC1D9B
PHACTR1
HIVEP1
GABBR1
ATXN1
SYNGAP1
EHMT2
GRM4
BAG6
PRRC2A
TMEM151B
HSP90AB1
CUL9
TTBK1
TMEM63B
SNAP91
DST
SOBP
DOPEY1
FOXO3
HIVEP2
TSPYL4
NHSL1
FYN
WASF1
KIAA1244
REV3L
QKI
ARID1B
SYNE1
TULP4
STXBP5
SASH1
FSCN1
CHN2
TTYH3
TNRC18
ACTB
ADAP1
INTS1
NACAD
VPS41
OGDH
AUTS2
CAMK2B
COBL
ZMIZ2
AMPH
TNS3
ADCY1
MAGI2
AKAP9
PCLO
LMTK2
YWHAG
TRRAP
CUX1
RELN
DOCK4
KCND2
HIPK2
PLXNA4
AGAP3
FAM115A
UBE3C
PTPRN2
PTK2B
MFHAS1
DLC1
XPO7
TNKS
ATP6V1B2
RHOBTB2
DPYSL2
PHYHIP
DLGAP2
ANK1
KAT6A
PREX2
EXTL3
NCOA2
ARFGEF1
ZNF704
UBR5
OXR1
KCNQ3
FAM91A1
PLEC
LYNX1
BAI1
PTK2
ARHGAP39
KIFC2
SMARCA2
SLC24A2
PTPRD
KIAA1045
RUSC2
TMEM8B
FAM120A
TRPM3
WNK2
NTRK2
DIRAS2
PTCH1
APBA1
AGTPBP1
UBQLN1
DAPK1
DAB2IP
GABBR2
RC3H2
TRIM32
ZNF462
GARNL3
KCNT1
NCS1
C9orf172
RAPGEF1
STXBP1
SETX
RALGDS
SPTAN1
OLFM1
CAMSAP1
ZER1
DNM1
SEC16A
PRRC2B
EHMT1
GRIN1
CACNA1B
ABCA2
ARHGAP21
GPR158
DIP2C
FAM21A
HK1
ANK3
ZNF365
ZMIZ1
PSAP
DLG5
PTEN
KCNMA1
NEURL
PDZD8
GBF1
PSD
GPAM
SCD
SPRN
KNDC1
DUSP8
NUP98
APBB1
FAM160A2
TRIM3
AP2A2
BRSK2
HIPK3
PTPN5
SLC1A2
MICAL2
DENND5A
NAV2
MADD
CKAP5
PTPRJ
MAPK8IP1
TMEM132A
