ACTB
AURKA
CCNB1
CDK5
CDKN1A
CHRNA7
EIF2S1
EIF4A1
GSK3B
HDAC3
JAK1
LACTB
MAP2K1
MAPK1
METAP2
MTOR
NFKB1
NOX1
NPM1
OPRM1
POLA1
POLD1
PPIA
PPP2CA
PPP3CA
PRKCA
PSMD1
RHO
RPL7
SF3B3
SMOX
SPTLC1
STAT3
STAT5B
TERT
TOP1
TUBB1
