ABCA1
ABCC2
ABCC8
ABL1
ACE
ACHE
ADA
ADH1A
ADORA1
ADORA2A
ADRA1A
ADRA2A
ADRA2B
ADRB1
ADRB2
AGTR1
AKR1C2
ALAD
ALDH2
ALOX5
ALPPL2
AOC3
AR
ATP1A1
ATP4A
AVPR1A
AVPR2
BCHE
BDKRB2
C5
CA1
CA2
CACNA1A
CACNA1C
CACNA1G
CACNA1I
CACNA2D1
CACNG1
CALCR
CAMLG
CASR
CCKAR
CCKBR
CCR5
CD2
CD33
CD3D
CD44
CD52
CD80
CFTR
CHD1
CHRM1
CHRM2
CHRM3
CHRM4
CHRNA10
CHRNA2
CHRNA4
CKM
CLCN2
CNR1
CNR2
COMT
CPT1A
CSF2RA
CSF3R
CTLA4
CXCR4
CYP11B1
CYP17A1
CYP19A1
CYP51A1
CYSLTR1
DDC
DHFR
DHODH
DNMT1
DPEP1
DPP4
DRD1
DRD2
DRD3
DRD5
EDNRA
EGFR
ELANE
EPOR
ERBB2
ESR1
F10
F2
F8
FADS1
FCER1A
FCER1G
FCGR1A
FDPS
FGF2
FGFR2
FKBP1A
FLT1
FN1
FOLH1
FSHR
FXYD2
GABBR1
GABRA1
GABRB1
GABRB2
GABRB3
GCGR
GGCX
GHR
GHRHR
GLP1R
GLP2R
GLRA3
GNRHR
GRIA1
GRIN1
GRIN2B
GRIN2D
GRIN3A
GSR
GUCY2C
HBB
HCAR3
HDAC1
HMGCR
HPD
HPRT1
HRH1
HRH2
HSD3B1
HTR1A
HTR1B
HTR1D
HTR2A
HTR2B
HTR2C
HTR3A
HTR4
IFNAR1
IFNAR2
IFNGR1
IGF1R
IKBKB
IL11RA
IL1B
IL1R1
IL2RA
IL2RB
IL6R
IMPDH1
INSR
ITGA2B
ITGA4
ITGAL
ITGB3
KCNA1
KCNH2
KCNJ1
KCNJ11
KCNJ8
KCNMA1
KCNQ1
LHCGR
LPL
MAOA
MAOB
MAP2
MC2R
METAP2
MGAM
MME
MMP1
MMP9
MPL
MS4A1
MTNR1A
MTOR
MTR
MTTP
NOS3
NPR1
NR3C1
NR3C2
OPRD1
OPRK1
OPRM1
OXTR
P2RY12
P2RY2
PDE10A
PDE3A
PDE4A
PDE4B
PDE5A
PDGFRB
PDXK
PGR
PLG
PNLIP
POLA1
PPARA
PPARG
PRDX5
PRKAA1
PRKAB1
PROC
PSMB5
PSMD2
PTGER1
PTGER2
PTGER3
PTGFR
PTGIR
PTGS1
PTGS2
RARA
RARG
REN
RFK
RRM1
RRM2
RXRA
RXRB
RYR1
SCN10A
SCN1A
SCN5A
SCNN1A
SCNN1G
SCTR
SERPINC1
SERPIND1
SHMT1
SIGMAR1
SLC12A1
SLC12A3
SLC18A2
SLC22A6
SLC25A4
SLC6A1
SLC6A2
SLC6A3
SLC6A4
SMS
SNAP25
SOAT1
SQLE
SRD5A2
SSTR1
SSTR2
SV2A
TACR1
TBXA2R
TH
THRA
TLR2
TLR7
TNF
TNFRSF8
TNFSF11
TNFSF13B
TNNC1
TOP1
TOP2A
TPK1
TPMT
TPO
TRPM8
TSHR
TSPO
TUBA1A
TUBB
TUBB1
TUBB3
TYMS
UGCG
VAMP2
VDR
VEGFA
VKORC1
XDH
