ABCA1
ABCC9
ACTA1
ACTC1
ACVRL1
ADAR
AFP
AK1
ALX4
AMPD1
ANK1
ANKH
APC
APOA1
APOA5
APP
ARHGEF10
ATL1
ATP1A2
ATP2A2
ATP2C1
BEST1
BMPR1A
BMPR2
BRCA1
BSCL2
C3
C8A
C8B
CACNA1A
CACNA1S
CASP10
CAT
CD4
CDC73
CDKN1C
CDSN
CES1
CHD7
CHEK2
CHMP2B
CHRNA4
CIITA
CLCN2
COCH
COL10A1
COL11A1
COL11A2
COL2A1
COL3A1
COL5A1
COL5A2
COL7A1
COL8A2
COL9A2
COL9A3
COMP
CPOX
CREBBP
CRYAB
CRYGD
CSRP3
CST3
CTNNB1
CYP1A2
CYP2C9
DCTN1
DES
DRD2
DSG1
DSPP
ECE1
EFEMP1
EGR2
ELN
ELOVL4
ENG
EXT1
EYA1
EYA4
F2
FBLN1
FBN1
FBN2
FGFR1
FLCN
FLNC
FLT4
FOXL2
FOXP2
FSHR
FTL
FXYD2
FZD4
GABRG2
GARS
GATA3
GFAP
GH1
GJA1
GJA8
GJB4
GJB6
GLMN
GLUD1
GNAS
GNAT1
GRHL2
GRN
GSN
GUCA1A
GUCY2D
HBA1
HBD
HBG1
HBG2
HCRT
HMBS
HNF1A
HNF1B
HNF4A
HOXA13
HOXD10
HOXD13
HSF4
HSPB8
IRF6
ITGA2
ITM2B
JAG1
KCNA1
KCNE2
KCNE3
KCNH2
KCNJ11
KCNQ1
KCNQ2
KCNQ3
KCNQ4
KIF1B
KIF21A
KIF5A
KIT
KRT1
KRT10
KRT12
KRT13
KRT16
KRT17
KRT2
KRT3
KRT4
KRT6A
KRT6B
KRT81
KRT83
KRT86
KRT9
LAMB1
LDLR
LGI1
LHB
LHCGR
LMX1B
LPA
LRP5
LRRK2
LYZ
MAPT
MEN1
MFN2
MFRP
MITF
MNX1
MPZ
MSH2
MYBPC3
MYF6
MYH7
MYH9
MYLK2
MYO7A
MYOC
MYOT
NEFL
NEUROD1
NF1
NF2
NIPBL
NKX2-5
NOG
NOTCH2
NOTCH3
NR3C1
NRG1
NSD1
OPA1
OPN1SW
OPTN
PAFAH1B1
PAX2
PAX3
PAX9
PDE6B
PITX3
PLAT
PLEKHG4
PLN
PON1
PPARG
PPOX
PRKAG2
PRKCG
PRKD2
PRNP
PROC
PROS1
PRPF3
PRPF8
PRSS1
PSEN1
PSEN2
PSTPIP1
PTCH2
PTEN
PTH
PTPN11
PVR
PXMP2
RAB7A
RBP4
RET
RFX5
RHO
RNASEL
RP9
RPS19
RUNX2
RYR2
SALL1
SALL4
SCN1A
SCN4A
SCN9A
SDHB
SDHC
SDHD
SERPINA6
SERPINC1
SERPIND1
SERPINE1
SERPING1
SERPINI1
SETX
SGCE
SH3BP2
SHH
SIX3
SLC16A1
SLC2A1
SLC4A1
SMAD4
SNCA
SNCB
SOD1
SOX10
SOX9
SPAST
SPTB
SPTLC1
STK11
TAS2R38
TBX3
TBX4
TBX5
TCOF1
TEK
TFAP2B
TGFB1
TGFBI
TGFBR2
TGIF1
THPO
TIMP3
TMC1
TNFRSF11A
TNFRSF1A
TNNI2
TNNI3
TNNT2
TOR1A
TPI1
TPM1
TRPS1
TSHR
TST
TTR
TWIST1
UMOD
VAPB
VSX1
WFS1
WNK1
WNK4
ZEB1
ZFPM2
ZIC2
