AAGAB
ABCD1
ACSL4
ACVRL1
ADNP
AFF2
AHDC1
ALX4
ANK2
ANKRD11
ANOS1
AP1S2
APC
AR
ARID1A
ARID1B
ARSE
ASH1L
ASXL1
ASXL3
ATP7A
ATRX
AUTS2
AVPR2
BAG3
BCL11A
BCOR
BMPR1A
BMPR2
BRCA1
BRCA2
BTK
CACNA1A
CAMTA1
CASK
CDKL5
CDKN1C
CHD2
CHD7
CHD8
CHM
CHRDL1
CIC
CLCN5
CNKSR2
COL1A1
COL2A1
COL3A1
COL4A5
COL5A1
CREBBP
CTNNB1
CUL4B
CYBB
DCX
DDX3X
DICER1
DMD
DPP6
DSCAM
DYRK1A
EDA
EDNRB
EFNB1
EFTUD2
EHMT1
ENG
EP300
EXT1
EXT2
EYA1
EYA4
F8
F9
FANCB
FASN
FBN1
FGD1
FGF10
FGFR1
FLCN
FLG
FLNA
FMR1
FOXC1
FOXC2
FOXF1
FOXG1
FOXL2
FOXP1
FRMD7
FTSJ1
FZD4
FZR1
GATA2
GATA3
GATA4
GATA6
GATAD2B
GCH1
GDF5
GK
GLI2
GLI3
GLMN
GNAS
GPC3
GRIN2B
HCCS
HDAC8
HIVEP2
HNF1B
HNRNPK
HOXD13
HPRT1
IDS
IGF1R
IKBKG
IL1RAPL1
IQSEC2
IRF6
JAG1
KANSL1
KAT6A
KAT6B
KCNH2
KCNQ1
KCNQ2
KDM5C
KDM6A
KIF11
KMT2A
KMT2B
KMT2C
KMT2D
L1CAM
LAMP2
LDLR
LEMD3
LHX4
LMX1B
MBD5
MECP2
MED13L
MEF2C
MEN1
MID1
MITF
MLH1
MNX1
MPP3
MSH2
MSH6
MSX2
MTM1
MYBPC3
MYCN
MYT1L
NAT8
NCKAP1
NDP
NEXMIF
NF1
NF2
NFIA
NHS
NIPBL
NKX2-5
NR0B1
NR5A1
NRXN1
NSD1
NSDHL
NYX
OCRL
OFD1
OPHN1
OTC
OTX2
PAFAH1B1
PAX2
PAX3
PAX6
PAX9
PCDH19
PDHA1
PGK1
PHEX
PHF6
PHF8
PITX2
PKD1
PKP2
PLP1
PMS2
POGZ
PORCN
PQBP1
PRKD2
PRPS1
PTCH1
PTCHD1
PTEN
PTPN11
PURA
PXMP2
RAB39B
RASA1
RB1
RET
RNASE12
RP2
RPS17
RPS19
RPS24
RPS26
RPS6KA3
RSC1A1
RUNX1
SALL1
SALL4
SATB2
SCN1A
SCN2A
SDHB
SDHC
SDHD
SETBP1
SETD1A
SETD5
SF3B4
SGCE
SH2D1A
SH3D19
SHANK3
SHH
SHOX
SIX3
SLC16A2
SLC2A1
SLC35A2
SLC6A1
SLC6A8
SLC9A6
SMAD3
SMAD4
SMARCB1
SMC1A
SMIM6
SMS
SOX10
SOX11
SOX2
SOX5
SOX9
SPRED1
SRY
STK11
STS
STXBP1
SYNGAP1
TBR1
TBX22
TBX3
TBX5
TCF12
TCF20
TCF7L2
TCOF1
TFAP2B
TGIF1
TIMM8A
TP53
TRAPPC2
TRIO
TRIP12
TRPS1
TSC1
TSC2
TWIST1
UBA2
UBE3A
UPF3B
USP9X
VHL
WAC
WDFY3
WDR45
WT1
XIAP
ZEB2
ZIC2
ZIC3
ZMYND11
