Mapped_gene
ABO
ACAD10
ACOXL
ACTA2
ADAM29
ADH1B
ADH7
ADIPOR1P1
AFG3L1P
AFM
AGAP7
ALDH2
ALS2CR12
ANKLE1
ANP32A
AP4B1
APOBEC3A
APOM
AQP4
AR
AREG
ARHGEF5
ARID5B
ARMC2
ASCL2
ASS1P11
ATF1
ATF7IP
ATM
ATP6V1G1P7
ATP9B
BABAM1
BACH1
BAG6
BAK1
BARD1
BCL2
BCL6
BET1L
BIK
BOD1
BPTF
BRCA2
BRIP1
BTC
BTNL2
C11orf21
C14orf119
C19orf12
C5orf66
C6orf10
CABLES2
CAMK2D
CASC11
CASC14
CASC15
CASC16
CASC17
CASC20
CASC8
CASP8
CBX6
CBX7
CCAT1
CCAT2
CCDC170
CCDC88C
CCDC91
CCHCR1
CCND1
CCND2
CCNE1
CCR12P
CDCA7
CDH1
CDK10
CDKN2A
CDKN2B-AS1
CDYL2
CEBPE
CENPE
CENPVP3
CFL1P6
CHCHD4P2
CHEK2
CHMP4C
CHRNA3
CHST9
CLDN11
CLPTM1L
COL6A3
COLCA1
COLCA2
CORO2B
COX5BP7
CSNK1A1
CTD-2194D22.4
CXorf67
CYCSP42
DAB2
DAZL
DCBLD1
DCLRE1B
DIP2B
DIRC3
DLX2
DMRT1
DMRTA1
DNAH11
DNAJC1
DPF1
DUSP10
EBF1
EBF2
EEFSEC
EGR2
EHBP1
EIF3H
ELL
EMBP1
EMID1
EOMES
EPAS1
ERBB4
ESR1
EXOC1
EXOC2
FAM19A5
FAM218A
FAM46A
FAM60DP
FARP2
FAS
FAT1P1
FERMT2
FGF10
FGF10-AS1
FGFR2
FGFR3P3
FLJ40194
FLJ41481
FLJ44006
FOXE1
FOXF2
FOXQ1
FTH1P2
FTO
GATA3
GATA3-AS1
GATA5
GEMIN8P1
GGCX
GLI2
GLULP5
GNAI2P1
GPBP1
GPR143
GRAMD1B
GREM1
GRHL1
GRIK1
GRM4
GSDMB
GSDMC
HACE1
HAP1
HEATR3
HECTD4
HELQ
HIGD1AP6
HMGB3P4
HMGN2P32
HNF1B
HNF4G
HOXD-AS1
HPGDS
HSD17B12
HYKK
IFITM9P
IGFBP2
IKZF1
IL13
INHBB
IPCEF1
IRF4
IRF8
ISCA1P2
ITGA6
ITPR1
ITPR2
JAK2
JUP
KCND3
KCNN3
KCNN4
KHSRPP1
KIF1B
KITLG
KLF4
KLK2
KLK3
KRT18P13
KRT18P42
KRT78
LAMA5
LEF1
LEPREL1
LGR6
LILRA5
LIMA1
LIN28B
LINC-PINT
LINC00327
LINC00506
LINC00536
LINC00589
LINC00690
LINC00709
LINC00867
LINC00977
LINC01101
LINC01105
LINC01153
LINC01185
LINC01247
LINC01263
LMO1
LMTK2
LOC100131315
LOC100996521
LOC101927688
