AAK1
AATK
ABL1
ABL2
ACVR1
ADCK1
ADCK2
ADCK3
ADCK4
ADCK5
AKT1
AKT2
AKT3
ALK
ALPK1
ALPK2
ALPK3
AMHR2
ANKK1
ARAF
ATM
AURKA
AURKB
AURKC
AXL
BLK
BMP2K
BMPR2
BMX
BRAF
BRSK1
BRSK2
BTK
BUB1
BUB1B
CAMKV
CDC42BPA
CDC42BPB
CDC7
CDK1
CDK10
CDK12
CDK13
CDK14
CDK15
CDK16
CDK17
CDK18
CDK19
CDK2
CDK20
CDK3
CDK4
CDK5
CDK6
CDK7
CDK8
CDK9
CDKL1
CDKL2
CDKL3
CDKL4
CDKL5
CHEK1
CHEK2
CHUK
CLK1
CLK2
CLK3
CLK4
CSF1R
CSK
DAPK1
DAPK2
DAPK3
DCLK1
DCLK2
DCLK3
DDR1
DDR2
DMPK
DYRK2
DYRK3
DYRK4
EGFR
EPHA1
EPHA2
EPHA3
EPHA4
EPHA5
EPHA6
EPHA7
EPHA8
EPHB1
EPHB2
EPHB3
EPHB4
EPHB6
ERBB2
ERBB3
ERBB4
ERN1
ERN2
FASTK
FER
FES
FGFR1
FGFR2
FGFR3
FGFR4
FGR
FLT3
FRK
FYN
GAK
GRK1
GRK4
GRK5
GRK6
GRK7
GSK3A
GSK3B
GUCY2C
GUCY2D
HCK
HIPK1
HIPK2
HIPK3
HIPK4
HUNK
ICK
IGF1R
IKBKB
IKBKE
ILK
INSR
INSRR
IRAK1
IRAK2
IRAK3
IRAK4
ITGAL
ITGAM
ITK
JAK1
JAK2
JAK3
KALRN
KIT
KSR1
KSR2
LATS1
LATS2
LCK
LIMK1
LIMK2
LMTK2
LMTK3
LRRK1
LRRK2
LTK
LYN
MAK
MAPK1
MAPK3
MARK1
MARK2
MARK3
MARK4
MAST1
MAST2
MAST3
MAST4
MATK
MELK
MERTK
MET
MINK1
MKNK1
MKNK2
MLKL
MOK
MOS
MST1R
MTOR
MUSK
MYLK
MYLK2
MYLK3
MYLK4
MYO3A
MYO3B
NEK1
NEK10
NEK11
NEK2
NEK3
NEK4
NEK5
NEK6
NEK7
NEK8
NEK9
NIM1K
NLK
NPR1
NPR2
NRBP1
NRBP2
NRK
NTRK1
NTRK2
NTRK3
NUAK1
NUAK2
OBSCN
OXSR1
PAK2
PAK3
PAK4
PAK6
PAK7
PAN3
PASK
PBK
PDK2
PDK3
PDK4
PDPK1
PEAK1
PHKG1
PHKG2
PIM1
PIM2
PIM3
PINK1
PKDCC
PKN1
PKN2
PKN3
PLK1
PLK2
PLK3
PLK4
PLK5
PRKDC
PRKX
PTK2
PTK2B
PTK6
PTK7
PXK
RAF1
RET
RIOK1
RIOK2
RIOK3
RIPK1
RIPK2
RIPK3
RIPK4
ROCK1
ROCK2
RORA
ROS1
RYK
SBK1
SBK2
SBK3
SCYL1
SCYL2
SCYL3
SERPINA2
SGK1
SGK3
SIK1
SIK2
SIK3
SLC12A7
SLK
SMG1
SNRK
SPEG
SRC
SRMS
SRPK1
SRPK2
SRPK3
STK10
STK11
STK16
STK24
STK25
STK26
STK31
STK33
STK35
STK36
STK38
STK39
STK4
STK40
STYK1
TAOK1
TAOK2
TAOK3
TBCK
TBK1
TEC
TEK
TESK1
TESK2
TEX14
TIE1
TLK1
TLK2
TNIK
TNK1
TNK2
TRIB1
TRIB2
TRIB3
TRIO
TRPM6
TRPM7
TSSK1B
TSSK2
TSSK3
TSSK4
TSSK6
TTBK1
TTBK2
TTK
TXK
TYK2
TYRO3
UHMK1
ULK1
ULK2
ULK3
ULK4
VRK1
VRK2
VRK3
WEE1
WEE2
WNK1
WNK2
WNK3
WNK4
ZAP70
